x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.470	1.937	-0.804	2.741	99999.000	-1.169	1.176	35.0	
3.0	1.0	2.471	1.947	-0.794	2.741	99999.000	-1.161	1.176	35.0	
3.0	2.0	2.468	1.837	-0.904	2.741	99999.000	-1.240	1.176	35.0	
3.0	3.0	2.470	1.917	-0.824	2.741	99999.000	-1.183	1.176	35.0	
3.0	4.0	2.469	1.867	-0.874	2.741	99999.000	-1.219	1.176	35.0	
3.0	5.0	2.471	1.957	-0.783	2.741	99999.000	-1.154	1.176	35.0	
3.0	6.0	2.471	1.967	-0.773	2.741	99999.000	-1.147	1.176	35.0	
3.0	7.0	2.471	1.967	-0.773	2.741	99999.000	-1.147	1.176	35.0	
3.0	8.0	2.473	2.088	-0.653	2.741	99999.000	-1.054	1.176	35.0	
3.0	9.0	2.473	2.048	-0.693	2.741	99999.000	-1.086	1.176	35.0	
3.0	10.0	2.472	2.028	-0.713	2.741	99999.000	-1.101	1.176	35.0	
3.0	11.0	2.472	2.028	-0.713	2.741	99999.000	-1.101	1.176	35.0	
3.0	12.0	2.473	2.068	-0.673	2.741	99999.000	-1.070	1.176	35.0	
3.0	13.0	2.482	2.509	-0.232	2.741	99999.000	-0.628	1.176	35.0	
3.0	14.0	2.484	2.659	-0.082	2.741	99999.000	-0.373	1.176	35.0	
3.0	15.0	2.492	3.060	0.319	2.741	99999.000	0.736	1.176	35.0	
3.0	16.0	2.497	3.321	0.580	2.741	99999.000	0.993	1.176	35.0	
3.0	17.0	2.502	3.571	0.830	2.741	99999.000	1.188	1.176	35.0	
3.0	18.0	2.516	4.293	1.552	2.741	99999.000	1.624	1.176	35.0	
3.0	19.0	2.517	4.353	1.612	2.741	99999.000	1.655	1.176	35.0	
3.0	20.0	2.533	5.165	2.424	2.741	99999.000	2.030	1.176	35.0	
3.0	21.0	2.544	5.696	2.955	2.741	99999.000	2.241	1.176	35.0	
3.0	22.0	2.555	6.267	3.527	2.741	99999.000	2.448	1.176	35.0	
3.0	23.0	2.573	7.180	4.439	2.741	99999.000	2.747	1.176	35.0	
3.0	24.0	2.604	8.763	6.022	2.741	99999.000	3.200	1.176	35.0	
3.0	25.0	2.611	9.134	6.393	2.741	99999.000	3.297	1.176	35.0	
3.0	26.0	2.634	10.307	7.566	2.741	99999.000	3.586	1.176	35.0	
3.0	27.0	2.647	10.978	8.238	2.741	99999.000	3.742	1.176	35.0	
3.0	28.0	2.671	12.201	9.460	2.741	99999.000	4.010	1.176	35.0	
3.0	29.0	2.702	13.815	11.074	2.741	99999.000	4.339	1.176	35.0	
3.0	30.0	2.722	14.857	12.117	2.741	99999.000	4.539	1.176	35.0	
3.0	31.0	2.734	15.439	12.698	2.741	99999.000	4.646	1.176	35.0	
3.0	32.0	2.747	16.110	13.370	2.741	99999.000	4.767	1.176	35.0	
3.0	33.0	2.758	16.692	13.951	2.741	99999.000	4.870	1.176	35.0	
3.0	34.0	2.764	16.992	14.252	2.741	99999.000	4.922	1.176	35.0	
3.0	35.0	2.760	16.772	14.031	2.741	99999.000	4.884	1.176	35.0	
3.0	36.0	2.748	16.191	13.450	2.741	99999.000	4.782	1.176	35.0	
3.0	37.0	2.738	15.669	12.929	2.741	99999.000	4.688	1.176	35.0	
3.0	38.0	2.733	15.389	12.648	2.741	99999.000	4.637	1.176	35.0	
3.0	39.0	2.704	13.925	11.184	2.741	99999.000	4.360	1.176	35.0	
3.0	40.0	2.690	13.194	10.453	2.741	99999.000	4.215	1.176	35.0	
3.0	41.0	2.655	11.419	8.679	2.741	99999.000	3.841	1.176	35.0	
3.0	42.0	2.635	10.357	7.616	2.741	99999.000	3.598	1.176	35.0	
3.0	43.0	2.617	9.465	6.724	2.741	99999.000	3.381	1.176	35.0	
3.0	44.0	2.596	8.402	5.662	2.741	99999.000	3.102	1.176	35.0	
3.0	45.0	2.578	7.460	4.719	2.741	99999.000	2.832	1.176	35.0	
3.0	46.0	2.570	7.059	4.318	2.741	99999.000	2.709	1.176	35.0	
3.0	47.0	2.559	6.458	3.717	2.741	99999.000	2.514	1.176	35.0	
3.0	48.0	2.547	5.887	3.146	2.741	99999.000	2.312	1.176	35.0	
3.0	49.0	2.540	5.526	2.785	2.741	99999.000	2.176	1.176	35.0	
3.0	50.0	2.520	4.483	1.742	2.741	99999.000	1.721	1.176	35.0	
3.0	51.0	2.516	4.283	1.542	2.741	99999.000	1.619	1.176	35.0	
3.0	52.0	2.515	4.203	1.462	2.741	99999.000	1.576	1.176	35.0	
