x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.468	1.817	-0.837	2.654	99999.000	-1.193	1.176	35.0	
3.0	1.0	2.469	1.887	-0.767	2.654	99999.000	-1.142	1.176	35.0	
3.0	2.0	2.472	2.028	-0.626	2.654	99999.000	-1.032	1.176	35.0	
3.0	3.0	2.471	1.977	-0.677	2.654	99999.000	-1.072	1.176	35.0	
3.0	4.0	2.472	2.038	-0.616	2.654	99999.000	-1.024	1.176	35.0	
3.0	5.0	2.473	2.048	-0.606	2.654	99999.000	-1.015	1.176	35.0	
3.0	6.0	2.469	1.847	-0.807	2.654	99999.000	-1.171	1.176	35.0	
3.0	7.0	2.470	1.917	-0.737	2.654	99999.000	-1.119	1.176	35.0	
3.0	8.0	2.471	1.967	-0.687	2.654	99999.000	-1.080	1.176	35.0	
3.0	9.0	2.471	1.977	-0.677	2.654	99999.000	-1.072	1.176	35.0	
3.0	10.0	2.473	2.078	-0.576	2.654	99999.000	-0.990	1.176	35.0	
3.0	11.0	2.472	2.038	-0.616	2.654	99999.000	-1.024	1.176	35.0	
3.0	12.0	2.475	2.158	-0.496	2.654	99999.000	-0.918	1.176	35.0	
3.0	13.0	2.476	2.238	-0.416	2.654	99999.000	-0.841	1.176	35.0	
3.0	14.0	2.480	2.418	-0.236	2.654	99999.000	-0.633	1.176	35.0	
3.0	15.0	2.486	2.719	0.065	2.654	99999.000	0.333	1.176	35.0	
3.0	16.0	2.486	2.759	0.105	2.654	99999.000	0.423	1.176	35.0	
3.0	17.0	2.496	3.260	0.606	2.654	99999.000	1.015	1.176	35.0	
3.0	18.0	2.500	3.481	0.827	2.654	99999.000	1.186	1.176	35.0	
3.0	19.0	2.508	3.842	1.188	2.654	99999.000	1.421	1.176	35.0	
3.0	20.0	2.518	4.383	1.729	2.654	99999.000	1.714	1.176	35.0	
3.0	21.0	2.532	5.115	2.461	2.654	99999.000	2.045	1.176	35.0	
3.0	22.0	2.541	5.576	2.922	2.654	99999.000	2.229	1.176	35.0	
3.0	23.0	2.558	6.448	3.794	2.654	99999.000	2.540	1.176	35.0	
3.0	24.0	2.567	6.889	4.235	2.654	99999.000	2.683	1.176	35.0	
3.0	25.0	2.595	8.302	5.648	2.654	99999.000	3.099	1.176	35.0	
3.0	26.0	2.616	9.395	6.741	2.654	99999.000	3.385	1.176	35.0	
3.0	27.0	2.629	10.086	7.432	2.654	99999.000	3.555	1.176	35.0	
3.0	28.0	2.655	11.389	8.735	2.654	99999.000	3.854	1.176	35.0	
3.0	29.0	2.676	12.482	9.828	2.654	99999.000	4.087	1.176	35.0	
3.0	30.0	2.703	13.855	11.201	2.654	99999.000	4.364	1.176	35.0	
3.0	31.0	2.724	14.918	12.264	2.654	99999.000	4.566	1.176	35.0	
3.0	32.0	2.741	15.800	13.146	2.654	99999.000	4.727	1.176	35.0	
3.0	33.0	2.756	16.561	13.907	2.654	99999.000	4.862	1.176	35.0	
3.0	34.0	2.766	17.093	14.439	2.654	99999.000	4.954	1.176	35.0	
3.0	35.0	2.769	17.233	14.579	2.654	99999.000	4.978	1.176	35.0	
3.0	36.0	2.768	17.203	14.549	2.654	99999.000	4.973	1.176	35.0	
3.0	37.0	2.753	16.451	13.797	2.654	99999.000	4.843	1.176	35.0	
3.0	38.0	2.731	15.309	12.655	2.654	99999.000	4.638	1.176	35.0	
3.0	39.0	2.712	14.346	11.692	2.654	99999.000	4.458	1.176	35.0	
3.0	40.0	2.692	13.304	10.650	2.654	99999.000	4.255	1.176	35.0	
3.0	41.0	2.679	12.652	9.998	2.654	99999.000	4.123	1.176	35.0	
3.0	42.0	2.659	11.610	8.956	2.654	99999.000	3.902	1.176	35.0	
3.0	43.0	2.634	10.337	7.683	2.654	99999.000	3.614	1.176	35.0	
3.0	44.0	2.620	9.625	6.971	2.654	99999.000	3.443	1.176	35.0	
3.0	45.0	2.600	8.573	5.919	2.654	99999.000	3.172	1.176	35.0	
3.0	46.0	2.589	8.042	5.388	2.654	99999.000	3.026	1.176	35.0	
3.0	47.0	2.563	6.668	4.014	2.654	99999.000	2.612	1.176	35.0	
3.0	48.0	2.556	6.348	3.694	2.654	99999.000	2.506	1.176	35.0	
3.0	49.0	2.539	5.466	2.812	2.654	99999.000	2.186	1.176	35.0	
3.0	50.0	2.528	4.904	2.250	2.654	99999.000	1.956	1.176	35.0	
3.0	51.0	2.512	4.082	1.428	2.654	99999.000	1.558	1.176	35.0	
3.0	52.0	2.514	4.173	1.519	2.654	99999.000	1.607	1.176	35.0	
