x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.293	1.330	0.342	0.988	99999.000	0.762	1.178	50.0	
6.0	1.0	2.316	1.457	0.469	0.988	99999.000	0.892	1.178	50.0	
6.0	2.0	2.434	2.111	1.124	0.988	99999.000	1.381	1.178	50.0	
6.0	3.0	2.501	2.480	1.493	0.988	99999.000	1.592	1.178	50.0	
6.0	4.0	2.542	2.707	1.719	0.988	99999.000	1.708	1.178	50.0	
6.0	5.0	2.529	2.638	1.651	0.988	99999.000	1.674	1.178	50.0	
6.0	6.0	2.563	2.825	1.837	0.988	99999.000	1.766	1.178	50.0	
6.0	7.0	2.593	2.991	2.004	0.988	99999.000	1.844	1.178	50.0	
6.0	8.0	2.652	3.315	2.327	0.988	99999.000	1.988	1.178	50.0	
6.0	9.0	2.710	3.640	2.653	0.988	99999.000	2.122	1.178	50.0	
6.0	10.0	2.746	3.840	2.852	0.988	99999.000	2.200	1.178	50.0	
6.0	11.0	2.746	3.840	2.852	0.988	99999.000	2.200	1.178	50.0	
6.0	12.0	2.755	3.889	2.902	0.988	99999.000	2.219	1.178	50.0	
6.0	13.0	2.748	3.849	2.862	0.988	99999.000	2.204	1.178	50.0	
6.0	14.0	2.817	4.229	3.242	0.988	99999.000	2.346	1.178	50.0	
6.0	15.0	2.846	4.389	3.402	0.988	99999.000	2.403	1.178	50.0	
6.0	16.0	2.862	4.477	3.489	0.988	99999.000	2.434	1.178	50.0	
6.0	17.0	2.927	4.838	3.851	0.988	99999.000	2.557	1.178	50.0	
6.0	18.0	3.028	5.400	4.413	0.988	99999.000	2.737	1.178	50.0	
6.0	19.0	3.049	5.513	4.525	0.988	99999.000	2.771	1.178	50.0	
6.0	20.0	3.083	5.705	4.718	0.988	99999.000	2.830	1.178	50.0	
6.0	21.0	3.144	6.039	5.051	0.988	99999.000	2.928	1.178	50.0	
6.0	22.0	3.245	6.600	5.613	0.988	99999.000	3.087	1.178	50.0	
6.0	23.0	3.325	7.043	6.055	0.988	99999.000	3.206	1.178	50.0	
6.0	24.0	3.311	6.964	5.976	0.988	99999.000	3.185	1.178	50.0	
6.0	25.0	3.371	7.297	6.310	0.988	99999.000	3.273	1.178	50.0	
6.0	26.0	3.424	7.593	6.605	0.988	99999.000	3.348	1.178	50.0	
6.0	27.0	3.524	8.146	7.158	0.988	99999.000	3.486	1.178	50.0	
6.0	28.0	3.485	7.930	6.943	0.988	99999.000	3.433	1.178	50.0	
6.0	29.0	3.476	7.881	6.893	0.988	99999.000	3.421	1.178	50.0	
6.0	30.0	3.467	7.831	6.843	0.988	99999.000	3.408	1.178	50.0	
6.0	31.0	3.463	7.804	6.816	0.988	99999.000	3.401	1.178	50.0	
6.0	32.0	3.477	7.883	6.895	0.988	99999.000	3.421	1.178	50.0	
6.0	33.0	3.504	8.032	7.044	0.988	99999.000	3.458	1.178	50.0	
6.0	34.0	3.468	7.835	6.847	0.988	99999.000	3.409	1.178	50.0	
6.0	35.0	3.426	7.603	6.616	0.988	99999.000	3.351	1.178	50.0	
6.0	36.0	3.342	7.134	6.146	0.988	99999.000	3.230	1.178	50.0	
6.0	37.0	3.282	6.804	5.816	0.988	99999.000	3.142	1.178	50.0	
6.0	38.0	3.280	6.795	5.807	0.988	99999.000	3.140	1.178	50.0	
6.0	39.0	3.227	6.502	5.514	0.988	99999.000	3.059	1.178	50.0	
6.0	40.0	3.184	6.263	5.275	0.988	99999.000	2.992	1.178	50.0	
6.0	41.0	3.132	5.976	4.988	0.988	99999.000	2.910	1.178	50.0	
6.0	42.0	3.065	5.604	4.616	0.988	99999.000	2.799	1.178	50.0	
6.0	43.0	3.039	5.462	4.474	0.988	99999.000	2.756	1.178	50.0	
6.0	44.0	2.989	5.180	4.193	0.988	99999.000	2.668	1.178	50.0	
6.0	45.0	2.934	4.876	3.889	0.988	99999.000	2.569	1.178	50.0	
6.0	46.0	2.875	4.553	3.565	0.988	99999.000	2.460	1.178	50.0	
6.0	47.0	2.863	4.485	3.497	0.988	99999.000	2.436	1.178	50.0	
6.0	48.0	2.850	4.414	3.427	0.988	99999.000	2.412	1.178	50.0	
6.0	49.0	2.826	4.281	3.294	0.988	99999.000	2.364	1.178	50.0	
6.0	50.0	2.710	3.639	2.652	0.988	99999.000	2.122	1.178	50.0	
6.0	51.0	2.701	3.590	2.602	0.988	99999.000	2.102	1.178	50.0	
6.0	52.0	2.665	3.391	2.403	0.988	99999.000	2.020	1.178	50.0	
