x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.309	1.418	0.430	0.988	99999.000	0.854	1.178	50.0	
6.0	1.0	2.317	1.465	0.478	0.988	99999.000	0.900	1.178	50.0	
6.0	2.0	2.429	2.080	1.092	0.988	99999.000	1.362	1.178	50.0	
6.0	3.0	2.493	2.439	1.452	0.988	99999.000	1.570	1.178	50.0	
6.0	4.0	2.499	2.468	1.481	0.988	99999.000	1.585	1.178	50.0	
6.0	5.0	2.552	2.765	1.777	0.988	99999.000	1.737	1.178	50.0	
6.0	6.0	2.637	3.235	2.247	0.988	99999.000	1.953	1.178	50.0	
6.0	7.0	2.624	3.163	2.176	0.988	99999.000	1.922	1.178	50.0	
6.0	8.0	2.620	3.137	2.150	0.988	99999.000	1.910	1.178	50.0	
6.0	9.0	2.731	3.752	2.764	0.988	99999.000	2.166	1.178	50.0	
6.0	10.0	2.612	3.095	2.107	0.988	99999.000	1.891	1.178	50.0	
6.0	11.0	2.675	3.447	2.459	0.988	99999.000	2.043	1.178	50.0	
6.0	12.0	2.750	3.858	2.870	0.988	99999.000	2.207	1.178	50.0	
6.0	13.0	2.725	3.718	2.731	0.988	99999.000	2.153	1.178	50.0	
6.0	14.0	2.805	4.164	3.177	0.988	99999.000	2.322	1.178	50.0	
6.0	15.0	2.800	4.137	3.150	0.988	99999.000	2.312	1.178	50.0	
6.0	16.0	2.833	4.321	3.334	0.988	99999.000	2.379	1.178	50.0	
6.0	17.0	2.821	4.252	3.264	0.988	99999.000	2.354	1.178	50.0	
6.0	18.0	2.955	4.993	4.006	0.988	99999.000	2.608	1.178	50.0	
6.0	19.0	2.992	5.200	4.212	0.988	99999.000	2.674	1.178	50.0	
6.0	20.0	3.081	5.689	4.701	0.988	99999.000	2.825	1.178	50.0	
6.0	21.0	3.163	6.144	5.156	0.988	99999.000	2.958	1.178	50.0	
6.0	22.0	3.201	6.355	5.367	0.988	99999.000	3.018	1.178	50.0	
6.0	23.0	3.265	6.711	5.723	0.988	99999.000	3.117	1.178	50.0	
6.0	24.0	3.278	6.784	5.797	0.988	99999.000	3.137	1.178	50.0	
6.0	25.0	3.388	7.392	6.405	0.988	99999.000	3.297	1.178	50.0	
6.0	26.0	3.430	7.621	6.633	0.988	99999.000	3.356	1.178	50.0	
6.0	27.0	3.404	7.482	6.495	0.988	99999.000	3.320	1.178	50.0	
6.0	28.0	3.443	7.693	6.706	0.988	99999.000	3.374	1.178	50.0	
6.0	29.0	3.471	7.852	6.865	0.988	99999.000	3.414	1.178	50.0	
6.0	30.0	3.490	7.955	6.968	0.988	99999.000	3.439	1.178	50.0	
6.0	31.0	3.430	7.624	6.636	0.988	99999.000	3.356	1.178	50.0	
6.0	32.0	3.447	7.717	6.730	0.988	99999.000	3.380	1.178	50.0	
6.0	33.0	3.394	7.424	6.436	0.988	99999.000	3.305	1.178	50.0	
6.0	34.0	3.413	7.531	6.543	0.988	99999.000	3.333	1.178	50.0	
6.0	35.0	3.354	7.201	6.213	0.988	99999.000	3.248	1.178	50.0	
6.0	36.0	3.280	6.792	5.804	0.988	99999.000	3.139	1.178	50.0	
6.0	37.0	3.283	6.812	5.825	0.988	99999.000	3.144	1.178	50.0	
6.0	38.0	3.257	6.666	5.679	0.988	99999.000	3.105	1.178	50.0	
6.0	39.0	3.240	6.570	5.582	0.988	99999.000	3.078	1.178	50.0	
6.0	40.0	3.164	6.150	5.162	0.988	99999.000	2.960	1.178	50.0	
6.0	41.0	3.143	6.033	5.046	0.988	99999.000	2.927	1.178	50.0	
6.0	42.0	3.081	5.690	4.703	0.988	99999.000	2.825	1.178	50.0	
6.0	43.0	3.013	5.317	4.329	0.988	99999.000	2.711	1.178	50.0	
6.0	44.0	3.004	5.264	4.276	0.988	99999.000	2.694	1.178	50.0	
6.0	45.0	2.914	4.765	3.777	0.988	99999.000	2.532	1.178	50.0	
6.0	46.0	2.844	4.380	3.392	0.988	99999.000	2.400	1.178	50.0	
6.0	47.0	2.843	4.372	3.384	0.988	99999.000	2.397	1.178	50.0	
6.0	48.0	2.790	4.080	3.092	0.988	99999.000	2.291	1.178	50.0	
6.0	49.0	2.791	4.084	3.097	0.988	99999.000	2.293	1.178	50.0	
6.0	50.0	2.752	3.869	2.881	0.988	99999.000	2.211	1.178	50.0	
6.0	51.0	2.734	3.770	2.783	0.988	99999.000	2.173	1.178	50.0	
6.0	52.0	2.680	3.471	2.483	0.988	99999.000	2.053	1.178	50.0	
