x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.336	1.566	0.578	0.988	99999.000	0.991	1.178	50.0	
6.0	1.0	2.320	1.478	0.491	0.988	99999.000	0.913	1.178	50.0	
6.0	2.0	2.421	2.038	1.050	0.988	99999.000	1.335	1.178	50.0	
6.0	3.0	2.459	2.249	1.261	0.988	99999.000	1.463	1.178	50.0	
6.0	4.0	2.505	2.505	1.518	0.988	99999.000	1.605	1.178	50.0	
6.0	5.0	2.510	2.532	1.545	0.988	99999.000	1.619	1.178	50.0	
6.0	6.0	2.570	2.862	1.875	0.988	99999.000	1.784	1.178	50.0	
6.0	7.0	2.569	2.855	1.867	0.988	99999.000	1.780	1.178	50.0	
6.0	8.0	2.653	3.324	2.337	0.988	99999.000	1.992	1.178	50.0	
6.0	9.0	2.619	3.136	2.149	0.988	99999.000	1.910	1.178	50.0	
6.0	10.0	2.696	3.560	2.573	0.988	99999.000	2.090	1.178	50.0	
6.0	11.0	2.673	3.434	2.446	0.988	99999.000	2.038	1.178	50.0	
6.0	12.0	2.708	3.624	2.637	0.988	99999.000	2.116	1.178	50.0	
6.0	13.0	2.748	3.848	2.861	0.988	99999.000	2.204	1.178	50.0	
6.0	14.0	2.812	4.204	3.217	0.988	99999.000	2.337	1.178	50.0	
6.0	15.0	2.854	4.436	3.448	0.988	99999.000	2.419	1.178	50.0	
6.0	16.0	2.868	4.515	3.527	0.988	99999.000	2.447	1.178	50.0	
6.0	17.0	2.891	4.642	3.654	0.988	99999.000	2.490	1.178	50.0	
6.0	18.0	2.971	5.081	4.093	0.988	99999.000	2.636	1.178	50.0	
6.0	19.0	3.022	5.363	4.376	0.988	99999.000	2.725	1.178	50.0	
6.0	20.0	3.117	5.888	4.901	0.988	99999.000	2.884	1.178	50.0	
6.0	21.0	3.245	6.598	5.611	0.988	99999.000	3.086	1.178	50.0	
6.0	22.0	3.235	6.546	5.559	0.988	99999.000	3.072	1.178	50.0	
6.0	23.0	3.295	6.876	5.889	0.988	99999.000	3.162	1.178	50.0	
6.0	24.0	3.320	7.015	6.027	0.988	99999.000	3.199	1.178	50.0	
6.0	25.0	3.404	7.480	6.493	0.988	99999.000	3.320	1.178	50.0	
6.0	26.0	3.413	7.527	6.539	0.988	99999.000	3.332	1.178	50.0	
6.0	27.0	3.477	7.885	6.897	0.988	99999.000	3.422	1.178	50.0	
6.0	28.0	3.460	7.787	6.800	0.988	99999.000	3.397	1.178	50.0	
6.0	29.0	3.462	7.800	6.813	0.988	99999.000	3.401	1.178	50.0	
6.0	30.0	3.462	7.799	6.812	0.988	99999.000	3.400	1.178	50.0	
6.0	31.0	3.469	7.839	6.852	0.988	99999.000	3.410	1.178	50.0	
6.0	32.0	3.424	7.592	6.604	0.988	99999.000	3.348	1.178	50.0	
6.0	33.0	3.397	7.442	6.455	0.988	99999.000	3.310	1.178	50.0	
6.0	34.0	3.393	7.421	6.433	0.988	99999.000	3.304	1.178	50.0	
6.0	35.0	3.339	7.121	6.133	0.988	99999.000	3.227	1.178	50.0	
6.0	36.0	3.261	6.690	5.703	0.988	99999.000	3.111	1.178	50.0	
6.0	37.0	3.240	6.571	5.583	0.988	99999.000	3.079	1.178	50.0	
6.0	38.0	3.141	6.025	5.037	0.988	99999.000	2.924	1.178	50.0	
6.0	39.0	3.200	6.351	5.364	0.988	99999.000	3.017	1.178	50.0	
6.0	40.0	3.209	6.402	5.415	0.988	99999.000	3.032	1.178	50.0	
6.0	41.0	3.094	5.765	4.777	0.988	99999.000	2.848	1.178	50.0	
6.0	42.0	2.981	5.139	4.152	0.988	99999.000	2.655	1.178	50.0	
6.0	43.0	2.925	4.828	3.840	0.988	99999.000	2.553	1.178	50.0	
6.0	44.0	2.987	5.169	4.181	0.988	99999.000	2.664	1.178	50.0	
6.0	45.0	2.923	4.819	3.831	0.988	99999.000	2.550	1.178	50.0	
6.0	46.0	2.892	4.646	3.658	0.988	99999.000	2.492	1.178	50.0	
6.0	47.0	2.852	4.422	3.434	0.988	99999.000	2.414	1.178	50.0	
6.0	48.0	2.789	4.073	3.086	0.988	99999.000	2.289	1.178	50.0	
6.0	49.0	2.797	4.121	3.133	0.988	99999.000	2.306	1.178	50.0	
6.0	50.0	2.731	3.752	2.764	0.988	99999.000	2.166	1.178	50.0	
6.0	51.0	2.713	3.653	2.666	0.988	99999.000	2.127	1.178	50.0	
6.0	52.0	2.806	4.169	3.181	0.988	99999.000	2.324	1.178	50.0	
