x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.308	1.414	0.427	0.988	99999.000	0.851	1.178	50.0	
6.0	1.0	2.336	1.569	0.582	0.988	99999.000	0.994	1.178	50.0	
6.0	2.0	2.435	2.114	1.126	0.988	99999.000	1.382	1.178	50.0	
6.0	3.0	2.491	2.427	1.440	0.988	99999.000	1.563	1.178	50.0	
6.0	4.0	2.601	3.034	2.047	0.988	99999.000	1.864	1.178	50.0	
6.0	5.0	2.635	3.224	2.236	0.988	99999.000	1.948	1.178	50.0	
6.0	6.0	2.633	3.213	2.225	0.988	99999.000	1.944	1.178	50.0	
6.0	7.0	2.612	3.093	2.105	0.988	99999.000	1.890	1.178	50.0	
6.0	8.0	2.591	2.977	1.989	0.988	99999.000	1.838	1.178	50.0	
6.0	9.0	2.646	3.284	2.297	0.988	99999.000	1.975	1.178	50.0	
6.0	10.0	2.720	3.694	2.706	0.988	99999.000	2.143	1.178	50.0	
6.0	11.0	2.678	3.460	2.472	0.988	99999.000	2.048	1.178	50.0	
6.0	12.0	2.730	3.749	2.761	0.988	99999.000	2.165	1.178	50.0	
6.0	13.0	2.810	4.191	3.204	0.988	99999.000	2.332	1.178	50.0	
6.0	14.0	2.832	4.315	3.327	0.988	99999.000	2.376	1.178	50.0	
6.0	15.0	2.817	4.231	3.244	0.988	99999.000	2.346	1.178	50.0	
6.0	16.0	2.826	4.282	3.295	0.988	99999.000	2.365	1.178	50.0	
6.0	17.0	2.894	4.658	3.670	0.988	99999.000	2.496	1.178	50.0	
6.0	18.0	2.992	5.199	4.211	0.988	99999.000	2.674	1.178	50.0	
6.0	19.0	3.022	5.362	4.375	0.988	99999.000	2.725	1.178	50.0	
6.0	20.0	3.079	5.678	4.691	0.988	99999.000	2.822	1.178	50.0	
6.0	21.0	3.166	6.162	5.174	0.988	99999.000	2.964	1.178	50.0	
6.0	22.0	3.176	6.219	5.232	0.988	99999.000	2.980	1.178	50.0	
6.0	23.0	3.270	6.738	5.750	0.988	99999.000	3.124	1.178	50.0	
6.0	24.0	3.282	6.806	5.818	0.988	99999.000	3.143	1.178	50.0	
6.0	25.0	3.360	7.233	6.246	0.988	99999.000	3.256	1.178	50.0	
6.0	26.0	3.426	7.599	6.612	0.988	99999.000	3.350	1.178	50.0	
6.0	27.0	3.412	7.521	6.534	0.988	99999.000	3.330	1.178	50.0	
6.0	28.0	3.428	7.613	6.626	0.988	99999.000	3.354	1.178	50.0	
6.0	29.0	3.444	7.703	6.715	0.988	99999.000	3.376	1.178	50.0	
6.0	30.0	3.461	7.795	6.807	0.988	99999.000	3.399	1.178	50.0	
6.0	31.0	3.447	7.719	6.732	0.988	99999.000	3.380	1.178	50.0	
6.0	32.0	3.492	7.965	6.977	0.988	99999.000	3.441	1.178	50.0	
6.0	33.0	3.422	7.582	6.594	0.988	99999.000	3.346	1.178	50.0	
6.0	34.0	3.412	7.526	6.538	0.988	99999.000	3.331	1.178	50.0	
6.0	35.0	3.348	7.171	6.183	0.988	99999.000	3.240	1.178	50.0	
6.0	36.0	3.323	7.031	6.043	0.988	99999.000	3.203	1.178	50.0	
6.0	37.0	3.336	7.105	6.117	0.988	99999.000	3.222	1.178	50.0	
6.0	38.0	3.263	6.697	5.709	0.988	99999.000	3.113	1.178	50.0	
6.0	39.0	3.236	6.548	5.561	0.988	99999.000	3.072	1.178	50.0	
6.0	40.0	3.224	6.486	5.498	0.988	99999.000	3.055	1.178	50.0	
6.0	41.0	3.109	5.846	4.858	0.988	99999.000	2.872	1.178	50.0	
6.0	42.0	3.084	5.711	4.723	0.988	99999.000	2.831	1.178	50.0	
6.0	43.0	2.991	5.192	4.205	0.988	99999.000	2.672	1.178	50.0	
6.0	44.0	2.956	5.000	4.012	0.988	99999.000	2.610	1.178	50.0	
6.0	45.0	2.952	4.978	3.990	0.988	99999.000	2.603	1.178	50.0	
6.0	46.0	2.857	4.451	3.463	0.988	99999.000	2.425	1.178	50.0	
6.0	47.0	2.770	3.968	2.981	0.988	99999.000	2.249	1.178	50.0	
6.0	48.0	2.756	3.893	2.905	0.988	99999.000	2.221	1.178	50.0	
6.0	49.0	2.732	3.760	2.772	0.988	99999.000	2.169	1.178	50.0	
6.0	50.0	2.649	3.303	2.315	0.988	99999.000	1.982	1.178	50.0	
6.0	51.0	2.642	3.261	2.273	0.988	99999.000	1.964	1.178	50.0	
6.0	52.0	2.674	3.438	2.451	0.988	99999.000	2.040	1.178	50.0	
