x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.349	1.637	0.650	0.988	99999.000	1.050	1.178	50.0	
6.0	1.0	2.325	1.505	0.518	0.988	99999.000	0.937	1.178	50.0	
6.0	2.0	2.492	2.432	1.444	0.988	99999.000	1.566	1.178	50.0	
6.0	3.0	2.458	2.246	1.258	0.988	99999.000	1.461	1.178	50.0	
6.0	4.0	2.502	2.488	1.500	0.988	99999.000	1.596	1.178	50.0	
6.0	5.0	2.552	2.764	1.776	0.988	99999.000	1.736	1.178	50.0	
6.0	6.0	2.709	3.633	2.645	0.988	99999.000	2.119	1.178	50.0	
6.0	7.0	2.658	3.352	2.364	0.988	99999.000	2.003	1.178	50.0	
6.0	8.0	2.640	3.252	2.264	0.988	99999.000	1.961	1.178	50.0	
6.0	9.0	2.657	3.343	2.355	0.988	99999.000	1.999	1.178	50.0	
6.0	10.0	2.655	3.334	2.347	0.988	99999.000	1.996	1.178	50.0	
6.0	11.0	2.704	3.603	2.615	0.988	99999.000	2.107	1.178	50.0	
6.0	12.0	2.721	3.701	2.713	0.988	99999.000	2.146	1.178	50.0	
6.0	13.0	2.745	3.830	2.842	0.988	99999.000	2.196	1.178	50.0	
6.0	14.0	2.735	3.778	2.790	0.988	99999.000	2.176	1.178	50.0	
6.0	15.0	2.813	4.206	3.219	0.988	99999.000	2.337	1.178	50.0	
6.0	16.0	2.842	4.370	3.382	0.988	99999.000	2.396	1.178	50.0	
6.0	17.0	2.908	4.735	3.747	0.988	99999.000	2.522	1.178	50.0	
6.0	18.0	2.932	4.867	3.879	0.988	99999.000	2.566	1.178	50.0	
6.0	19.0	2.981	5.137	4.150	0.988	99999.000	2.654	1.178	50.0	
6.0	20.0	3.058	5.565	4.577	0.988	99999.000	2.787	1.178	50.0	
6.0	21.0	3.106	5.832	4.844	0.988	99999.000	2.868	1.178	50.0	
6.0	22.0	3.207	6.387	5.399	0.988	99999.000	3.027	1.178	50.0	
6.0	23.0	3.277	6.779	5.791	0.988	99999.000	3.135	1.178	50.0	
6.0	24.0	3.296	6.882	5.894	0.988	99999.000	3.163	1.178	50.0	
6.0	25.0	3.391	7.409	6.421	0.988	99999.000	3.301	1.178	50.0	
6.0	26.0	3.382	7.358	6.370	0.988	99999.000	3.288	1.178	50.0	
6.0	27.0	3.426	7.603	6.616	0.988	99999.000	3.351	1.178	50.0	
6.0	28.0	3.454	7.756	6.768	0.988	99999.000	3.390	1.178	50.0	
6.0	29.0	3.439	7.675	6.687	0.988	99999.000	3.369	1.178	50.0	
6.0	30.0	3.469	7.839	6.852	0.988	99999.000	3.410	1.178	50.0	
6.0	31.0	3.462	7.802	6.814	0.988	99999.000	3.401	1.178	50.0	
6.0	32.0	3.414	7.536	6.549	0.988	99999.000	3.334	1.178	50.0	
6.0	33.0	3.445	7.708	6.721	0.988	99999.000	3.378	1.178	50.0	
6.0	34.0	3.408	7.503	6.515	0.988	99999.000	3.326	1.178	50.0	
6.0	35.0	3.358	7.223	6.235	0.988	99999.000	3.253	1.178	50.0	
6.0	36.0	3.309	6.953	5.965	0.988	99999.000	3.182	1.178	50.0	
6.0	37.0	3.283	6.810	5.823	0.988	99999.000	3.144	1.178	50.0	
6.0	38.0	3.235	6.544	5.556	0.988	99999.000	3.071	1.178	50.0	
6.0	39.0	3.205	6.378	5.391	0.988	99999.000	3.025	1.178	50.0	
6.0	40.0	3.222	6.472	5.484	0.988	99999.000	3.051	1.178	50.0	
6.0	41.0	3.108	5.841	4.853	0.988	99999.000	2.870	1.178	50.0	
6.0	42.0	3.060	5.578	4.590	0.988	99999.000	2.791	1.178	50.0	
6.0	43.0	3.034	5.430	4.443	0.988	99999.000	2.746	1.178	50.0	
6.0	44.0	2.977	5.113	4.126	0.988	99999.000	2.646	1.178	50.0	
6.0	45.0	2.906	4.723	3.735	0.988	99999.000	2.518	1.178	50.0	
6.0	46.0	2.901	4.695	3.707	0.988	99999.000	2.508	1.178	50.0	
6.0	47.0	2.914	4.767	3.779	0.988	99999.000	2.533	1.178	50.0	
6.0	48.0	2.815	4.219	3.232	0.988	99999.000	2.342	1.178	50.0	
6.0	49.0	2.763	3.933	2.945	0.988	99999.000	2.236	1.178	50.0	
6.0	50.0	2.732	3.761	2.773	0.988	99999.000	2.170	1.178	50.0	
6.0	51.0	2.721	3.698	2.710	0.988	99999.000	2.145	1.178	50.0	
6.0	52.0	2.717	3.674	2.686	0.988	99999.000	2.135	1.178	50.0	
