x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.465	1.687	-0.967	2.654	99999.000	-1.282	1.176	40.0	
3.0	1.0	2.466	1.727	-0.927	2.654	99999.000	-1.255	1.176	40.0	
3.0	2.0	2.466	1.697	-0.957	2.654	99999.000	-1.276	1.176	40.0	
3.0	3.0	2.465	1.637	-1.017	2.654	99999.000	-1.315	1.176	40.0	
3.0	4.0	2.466	1.707	-0.947	2.654	99999.000	-1.269	1.176	40.0	
3.0	5.0	2.464	1.607	-1.047	2.654	99999.000	-1.334	1.176	40.0	
3.0	6.0	2.464	1.617	-1.037	2.654	99999.000	-1.328	1.176	40.0	
3.0	7.0	2.466	1.717	-0.937	2.654	99999.000	-1.262	1.176	40.0	
3.0	8.0	2.467	1.757	-0.897	2.654	99999.000	-1.235	1.176	40.0	
3.0	9.0	2.466	1.707	-0.947	2.654	99999.000	-1.269	1.176	40.0	
3.0	10.0	2.468	1.827	-0.827	2.654	99999.000	-1.186	1.176	40.0	
3.0	11.0	2.471	1.987	-0.667	2.654	99999.000	-1.064	1.176	40.0	
3.0	12.0	2.472	1.997	-0.657	2.654	99999.000	-1.056	1.176	40.0	
3.0	13.0	2.477	2.298	-0.356	2.654	99999.000	-0.778	1.176	40.0	
3.0	14.0	2.483	2.579	-0.075	2.654	99999.000	-0.357	1.176	40.0	
3.0	15.0	2.485	2.679	0.025	2.654	99999.000	0.206	1.176	40.0	
3.0	16.0	2.495	3.220	0.566	2.654	99999.000	0.981	1.176	40.0	
3.0	17.0	2.500	3.481	0.827	2.654	99999.000	1.186	1.176	40.0	
3.0	18.0	2.511	4.032	1.378	2.654	99999.000	1.531	1.176	40.0	
3.0	19.0	2.519	4.433	1.779	2.654	99999.000	1.739	1.176	40.0	
3.0	20.0	2.540	5.496	2.842	2.654	99999.000	2.198	1.176	40.0	
3.0	21.0	2.560	6.508	3.854	2.654	99999.000	2.560	1.176	40.0	
3.0	22.0	2.577	7.410	4.756	2.654	99999.000	2.843	1.176	40.0	
3.0	23.0	2.594	8.252	5.598	2.654	99999.000	3.085	1.176	40.0	
3.0	24.0	2.621	9.645	6.991	2.654	99999.000	3.447	1.176	40.0	
3.0	25.0	2.634	10.317	7.663	2.654	99999.000	3.609	1.176	40.0	
3.0	26.0	2.667	12.011	9.357	2.654	99999.000	3.988	1.176	40.0	
3.0	27.0	2.690	13.174	10.520	2.654	99999.000	4.229	1.176	40.0	
3.0	28.0	2.734	15.469	12.815	2.654	99999.000	4.667	1.176	40.0	
3.0	29.0	2.763	16.932	14.278	2.654	99999.000	4.927	1.176	40.0	
3.0	30.0	2.805	19.107	16.453	2.654	99999.000	5.289	1.176	40.0	
3.0	31.0	2.834	20.591	17.937	2.654	99999.000	5.522	1.176	40.0	
3.0	32.0	2.847	21.222	18.568	2.654	99999.000	5.618	1.176	40.0	
3.0	33.0	2.865	22.195	19.541	2.654	99999.000	5.764	1.176	40.0	
3.0	34.0	2.867	22.255	19.601	2.654	99999.000	5.772	1.176	40.0	
3.0	35.0	2.863	22.064	19.410	2.654	99999.000	5.744	1.176	40.0	
3.0	36.0	2.845	21.162	18.508	2.654	99999.000	5.609	1.176	40.0	
3.0	37.0	2.812	19.448	16.794	2.654	99999.000	5.343	1.176	40.0	
3.0	38.0	2.799	18.777	16.123	2.654	99999.000	5.235	1.176	40.0	
3.0	39.0	2.775	17.564	14.910	2.654	99999.000	5.035	1.176	40.0	
3.0	40.0	2.727	15.118	12.464	2.654	99999.000	4.603	1.176	40.0	
3.0	41.0	2.705	13.975	11.321	2.654	99999.000	4.387	1.176	40.0	
3.0	42.0	2.665	11.921	9.267	2.654	99999.000	3.969	1.176	40.0	
3.0	43.0	2.653	11.299	8.645	2.654	99999.000	3.834	1.176	40.0	
3.0	44.0	2.639	10.577	7.924	2.654	99999.000	3.670	1.176	40.0	
3.0	45.0	2.618	9.495	6.841	2.654	99999.000	3.410	1.176	40.0	
3.0	46.0	2.590	8.092	5.438	2.654	99999.000	3.040	1.176	40.0	
3.0	47.0	2.586	7.861	5.207	2.654	99999.000	2.975	1.176	40.0	
3.0	48.0	2.554	6.207	3.553	2.654	99999.000	2.458	1.176	40.0	
3.0	49.0	2.544	5.696	3.042	2.654	99999.000	2.274	1.176	40.0	
3.0	50.0	2.523	4.654	2.000	2.654	99999.000	1.844	1.176	40.0	
3.0	51.0	2.531	5.025	2.371	2.654	99999.000	2.007	1.176	40.0	
3.0	52.0	2.518	4.383	1.729	2.654	99999.000	1.714	1.176	40.0	
