x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.462	1.506	-1.148	2.654	99999.000	-1.397	1.176	40.0	
3.0	1.0	2.463	1.576	-1.078	2.654	99999.000	-1.353	1.176	40.0	
3.0	2.0	2.466	1.707	-0.947	2.654	99999.000	-1.269	1.176	40.0	
3.0	3.0	2.465	1.687	-0.967	2.654	99999.000	-1.282	1.176	40.0	
3.0	4.0	2.466	1.717	-0.937	2.654	99999.000	-1.262	1.176	40.0	
3.0	5.0	2.468	1.817	-0.837	2.654	99999.000	-1.193	1.176	40.0	
3.0	6.0	2.466	1.737	-0.917	2.654	99999.000	-1.249	1.176	40.0	
3.0	7.0	2.469	1.847	-0.807	2.654	99999.000	-1.171	1.176	40.0	
3.0	8.0	2.466	1.717	-0.937	2.654	99999.000	-1.262	1.176	40.0	
3.0	9.0	2.465	1.667	-0.987	2.654	99999.000	-1.296	1.176	40.0	
3.0	10.0	2.471	1.957	-0.697	2.654	99999.000	-1.088	1.176	40.0	
3.0	11.0	2.476	2.208	-0.446	2.654	99999.000	-0.871	1.176	40.0	
3.0	12.0	2.474	2.098	-0.556	2.654	99999.000	-0.972	1.176	40.0	
3.0	13.0	2.480	2.428	-0.226	2.654	99999.000	-0.619	1.176	40.0	
3.0	14.0	2.476	2.248	-0.406	2.654	99999.000	-0.831	1.176	40.0	
3.0	15.0	2.487	2.809	0.155	2.654	99999.000	0.514	1.176	40.0	
3.0	16.0	2.495	3.210	0.556	2.654	99999.000	0.972	1.176	40.0	
3.0	17.0	2.500	3.441	0.787	2.654	99999.000	1.157	1.176	40.0	
3.0	18.0	2.514	4.152	1.498	2.654	99999.000	1.596	1.176	40.0	
3.0	19.0	2.527	4.834	2.180	2.654	99999.000	1.925	1.176	40.0	
3.0	20.0	2.545	5.756	3.102	2.654	99999.000	2.296	1.176	40.0	
3.0	21.0	2.561	6.568	3.914	2.654	99999.000	2.580	1.176	40.0	
3.0	22.0	2.575	7.280	4.626	2.654	99999.000	2.804	1.176	40.0	
3.0	23.0	2.597	8.432	5.778	2.654	99999.000	3.134	1.176	40.0	
3.0	24.0	2.623	9.746	7.092	2.654	99999.000	3.472	1.176	40.0	
3.0	25.0	2.654	11.369	8.715	2.654	99999.000	3.849	1.176	40.0	
3.0	26.0	2.689	13.143	10.489	2.654	99999.000	4.223	1.176	40.0	
3.0	27.0	2.727	15.078	12.424	2.654	99999.000	4.596	1.176	40.0	
3.0	28.0	2.753	16.431	13.777	2.654	99999.000	4.840	1.176	40.0	
3.0	29.0	2.769	17.253	14.599	2.654	99999.000	4.982	1.176	40.0	
3.0	30.0	2.803	18.987	16.333	2.654	99999.000	5.269	1.176	40.0	
3.0	31.0	2.824	20.070	17.416	2.654	99999.000	5.441	1.176	40.0	
3.0	32.0	2.847	21.232	18.578	2.654	99999.000	5.620	1.176	40.0	
3.0	33.0	2.865	22.144	19.491	2.654	99999.000	5.756	1.176	40.0	
3.0	34.0	2.863	22.054	19.400	2.654	99999.000	5.743	1.176	40.0	
3.0	35.0	2.857	21.754	19.100	2.654	99999.000	5.698	1.176	40.0	
3.0	36.0	2.845	21.162	18.508	2.654	99999.000	5.609	1.176	40.0	
3.0	37.0	2.824	20.050	17.396	2.654	99999.000	5.438	1.176	40.0	
3.0	38.0	2.810	19.358	16.704	2.654	99999.000	5.329	1.176	40.0	
3.0	39.0	2.783	17.975	15.321	2.654	99999.000	5.103	1.176	40.0	
3.0	40.0	2.750	16.271	13.617	2.654	99999.000	4.811	1.176	40.0	
3.0	41.0	2.725	14.988	12.334	2.654	99999.000	4.579	1.176	40.0	
3.0	42.0	2.694	13.424	10.770	2.654	99999.000	4.279	1.176	40.0	
3.0	43.0	2.659	11.630	8.976	2.654	99999.000	3.906	1.176	40.0	
3.0	44.0	2.643	10.768	8.114	2.654	99999.000	3.714	1.176	40.0	
3.0	45.0	2.618	9.485	6.831	2.654	99999.000	3.408	1.176	40.0	
3.0	46.0	2.595	8.322	5.668	2.654	99999.000	3.104	1.176	40.0	
3.0	47.0	2.573	7.210	4.556	2.654	99999.000	2.783	1.176	40.0	
3.0	48.0	2.569	6.999	4.345	2.654	99999.000	2.718	1.176	40.0	
3.0	49.0	2.550	6.017	3.363	2.654	99999.000	2.391	1.176	40.0	
3.0	50.0	2.543	5.646	2.992	2.654	99999.000	2.255	1.176	40.0	
3.0	51.0	2.527	4.854	2.200	2.654	99999.000	1.934	1.176	40.0	
3.0	52.0	2.521	4.533	1.879	2.654	99999.000	1.787	1.176	40.0	
