x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.464	1.586	-1.076	2.662	2.741	-1.352	1.176	40.0	
3.0	1.0	2.463	1.576	-1.086	2.662	2.741	-1.359	1.176	40.0	
3.0	2.0	2.466	1.707	-0.956	2.662	2.741	-1.275	1.176	40.0	
3.0	3.0	2.465	1.637	-1.026	2.662	2.741	-1.321	1.176	40.0	
3.0	4.0	2.466	1.727	-0.936	2.662	2.741	-1.261	1.176	40.0	
3.0	5.0	2.467	1.757	-0.905	2.662	2.741	-1.241	1.176	40.0	
3.0	6.0	2.464	1.627	-1.036	2.662	2.741	-1.327	1.176	40.0	
3.0	7.0	2.467	1.787	-0.875	2.662	2.741	-1.220	1.176	40.0	
3.0	8.0	2.467	1.757	-0.905	2.662	2.741	-1.241	1.176	40.0	
3.0	9.0	2.465	1.657	-1.006	2.662	2.741	-1.308	1.176	40.0	
3.0	10.0	2.470	1.907	-0.755	2.662	2.741	-1.133	1.176	40.0	
3.0	11.0	2.477	2.268	-0.394	2.662	2.741	-0.819	1.176	40.0	
3.0	12.0	2.477	2.298	-0.364	2.662	2.741	-0.787	1.176	40.0	
3.0	13.0	2.477	2.298	-0.364	2.662	2.741	-0.787	1.176	40.0	
3.0	14.0	2.485	2.689	0.027	2.662	2.741	0.213	1.176	40.0	
3.0	15.0	2.484	2.629	-0.033	2.662	2.741	-0.238	1.176	40.0	
3.0	16.0	2.500	3.431	0.768	2.662	2.741	1.143	1.176	40.0	
3.0	17.0	2.500	3.481	0.819	2.662	2.741	1.180	1.176	40.0	
3.0	18.0	2.504	3.661	0.999	2.662	2.741	1.303	1.176	40.0	
3.0	19.0	2.519	4.433	1.771	2.662	2.741	1.735	1.176	40.0	
3.0	20.0	2.544	5.716	3.054	2.662	2.741	2.278	1.176	40.0	
3.0	21.0	2.561	6.598	3.936	2.662	2.741	2.587	1.176	40.0	
3.0	22.0	2.581	7.621	4.958	2.662	2.741	2.903	1.176	40.0	
3.0	23.0	2.600	8.603	5.941	2.662	2.741	3.178	1.176	40.0	
3.0	24.0	2.621	9.665	7.003	2.662	2.741	3.450	1.176	40.0	
3.0	25.0	2.641	10.668	8.005	2.662	2.741	3.689	1.176	40.0	
3.0	26.0	2.685	12.953	10.291	2.662	2.741	4.183	1.176	40.0	
3.0	27.0	2.720	14.727	12.065	2.662	2.741	4.529	1.176	40.0	
3.0	28.0	2.723	14.898	12.235	2.662	2.741	4.561	1.176	40.0	
3.0	29.0	2.775	17.544	14.881	2.662	2.741	5.030	1.176	40.0	
3.0	30.0	2.802	18.927	16.265	2.662	2.741	5.258	1.176	40.0	
3.0	31.0	2.828	20.290	17.628	2.662	2.741	5.474	1.176	40.0	
3.0	32.0	2.847	21.232	18.570	2.662	2.741	5.619	1.176	40.0	
3.0	33.0	2.861	21.974	19.312	2.662	2.741	5.730	1.176	40.0	
3.0	34.0	2.867	22.295	19.633	2.662	2.741	5.777	1.176	40.0	
3.0	35.0	2.855	21.663	19.001	2.662	2.741	5.683	1.176	40.0	
3.0	36.0	2.865	22.175	19.512	2.662	2.741	5.759	1.176	40.0	
3.0	37.0	2.835	20.631	17.969	2.662	2.741	5.527	1.176	40.0	
3.0	38.0	2.811	19.388	16.726	2.662	2.741	5.332	1.176	40.0	
3.0	39.0	2.783	17.945	15.282	2.662	2.741	5.097	1.176	40.0	
3.0	40.0	2.751	16.301	13.639	2.662	2.741	4.815	1.176	40.0	
3.0	41.0	2.728	15.148	12.486	2.662	2.741	4.607	1.176	40.0	
3.0	42.0	2.699	13.635	10.972	2.662	2.741	4.319	1.176	40.0	
3.0	43.0	2.662	11.750	9.088	2.662	2.741	3.931	1.176	40.0	
3.0	44.0	2.647	10.968	8.306	2.662	2.741	3.758	1.176	40.0	
3.0	45.0	2.620	9.605	6.943	2.662	2.741	3.436	1.176	40.0	
3.0	46.0	2.615	9.335	6.672	2.662	2.741	3.368	1.176	40.0	
3.0	47.0	2.581	7.590	4.928	2.662	2.741	2.894	1.176	40.0	
3.0	48.0	2.565	6.769	4.106	2.662	2.741	2.642	1.176	40.0	
3.0	49.0	2.545	5.766	3.104	2.662	2.741	2.297	1.176	40.0	
3.0	50.0	2.536	5.325	2.663	2.662	2.741	2.128	1.176	40.0	
3.0	51.0	2.525	4.754	2.092	2.662	2.741	1.886	1.176	40.0	
3.0	52.0	2.520	4.493	1.831	2.662	2.741	1.764	1.176	40.0	
