x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.308	1.413	0.426	0.988	99999.000	0.850	1.178	40.0	
6.0	1.0	2.270	1.203	0.216	0.988	99999.000	0.605	1.178	40.0	
6.0	2.0	2.303	1.384	0.397	0.988	99999.000	0.820	1.178	40.0	
6.0	3.0	2.398	1.909	0.921	0.988	99999.000	1.251	1.178	40.0	
6.0	4.0	2.402	1.934	0.946	0.988	99999.000	1.267	1.178	40.0	
6.0	5.0	2.434	2.110	1.123	0.988	99999.000	1.380	1.178	40.0	
6.0	6.0	2.433	2.107	1.119	0.988	99999.000	1.378	1.178	40.0	
6.0	7.0	2.429	2.083	1.096	0.988	99999.000	1.364	1.178	40.0	
6.0	8.0	2.438	2.133	1.145	0.988	99999.000	1.394	1.178	40.0	
6.0	9.0	2.442	2.155	1.167	0.988	99999.000	1.407	1.178	40.0	
6.0	10.0	2.455	2.227	1.240	0.988	99999.000	1.451	1.178	40.0	
6.0	11.0	2.462	2.267	1.280	0.988	99999.000	1.474	1.178	40.0	
6.0	12.0	2.491	2.427	1.440	0.988	99999.000	1.563	1.178	40.0	
6.0	13.0	2.534	2.662	1.675	0.988	99999.000	1.686	1.178	40.0	
6.0	14.0	2.549	2.749	1.761	0.988	99999.000	1.729	1.178	40.0	
6.0	15.0	2.580	2.919	1.931	0.988	99999.000	1.810	1.178	40.0	
6.0	16.0	2.573	2.882	1.894	0.988	99999.000	1.793	1.178	40.0	
6.0	17.0	2.607	3.066	2.078	0.988	99999.000	1.878	1.178	40.0	
6.0	18.0	2.668	3.407	2.419	0.988	99999.000	2.026	1.178	40.0	
6.0	19.0	2.669	3.410	2.422	0.988	99999.000	2.028	1.178	40.0	
6.0	20.0	2.696	3.561	2.574	0.988	99999.000	2.090	1.178	40.0	
6.0	21.0	2.716	3.673	2.685	0.988	99999.000	2.135	1.178	40.0	
6.0	22.0	2.745	3.831	2.843	0.988	99999.000	2.197	1.178	40.0	
6.0	23.0	2.791	4.087	3.100	0.988	99999.000	2.294	1.178	40.0	
6.0	24.0	2.803	4.155	3.167	0.988	99999.000	2.319	1.178	40.0	
6.0	25.0	2.782	4.037	3.049	0.988	99999.000	2.275	1.178	40.0	
6.0	26.0	2.831	4.310	3.323	0.988	99999.000	2.375	1.178	40.0	
6.0	27.0	2.816	4.223	3.235	0.988	99999.000	2.343	1.178	40.0	
6.0	28.0	2.836	4.334	3.347	0.988	99999.000	2.383	1.178	40.0	
6.0	29.0	2.817	4.230	3.243	0.988	99999.000	2.346	1.178	40.0	
6.0	30.0	2.788	4.072	3.085	0.988	99999.000	2.288	1.178	40.0	
6.0	31.0	2.843	4.375	3.388	0.988	99999.000	2.398	1.178	40.0	
6.0	32.0	2.855	4.439	3.452	0.988	99999.000	2.420	1.178	40.0	
6.0	33.0	2.819	4.239	3.251	0.988	99999.000	2.349	1.178	40.0	
6.0	34.0	2.794	4.103	3.115	0.988	99999.000	2.299	1.178	40.0	
6.0	35.0	2.786	4.057	3.070	0.988	99999.000	2.283	1.178	40.0	
6.0	36.0	2.784	4.048	3.061	0.988	99999.000	2.279	1.178	40.0	
6.0	37.0	2.741	3.807	2.820	0.988	99999.000	2.188	1.178	40.0	
6.0	38.0	2.751	3.866	2.878	0.988	99999.000	2.210	1.178	40.0	
6.0	39.0	2.722	3.705	2.718	0.988	99999.000	2.148	1.178	40.0	
6.0	40.0	2.685	3.502	2.514	0.988	99999.000	2.066	1.178	40.0	
6.0	41.0	2.657	3.342	2.354	0.988	99999.000	1.999	1.178	40.0	
6.0	42.0	2.648	3.294	2.307	0.988	99999.000	1.979	1.178	40.0	
6.0	43.0	2.604	3.052	2.064	0.988	99999.000	1.872	1.178	40.0	
6.0	44.0	2.620	3.137	2.150	0.988	99999.000	1.910	1.178	40.0	
6.0	45.0	2.559	2.804	1.816	0.988	99999.000	1.756	1.178	40.0	
6.0	46.0	2.553	2.767	1.780	0.988	99999.000	1.738	1.178	40.0	
6.0	47.0	2.488	2.411	1.424	0.988	99999.000	1.554	1.178	40.0	
6.0	48.0	2.505	2.503	1.515	0.988	99999.000	1.604	1.178	40.0	
6.0	49.0	2.484	2.385	1.398	0.988	99999.000	1.540	1.178	40.0	
6.0	50.0	2.454	2.223	1.235	0.988	99999.000	1.448	1.178	40.0	
6.0	51.0	2.449	2.196	1.208	0.988	99999.000	1.432	1.178	40.0	
6.0	52.0	2.430	2.091	1.103	0.988	99999.000	1.368	1.178	40.0	
