x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.271	1.209	0.221	0.988	99999.000	0.613	1.178	40.0	
6.0	1.0	2.286	1.291	0.303	0.988	99999.000	0.718	1.178	40.0	
6.0	2.0	2.359	1.693	0.705	0.988	99999.000	1.094	1.178	40.0	
6.0	3.0	2.395	1.894	0.906	0.988	99999.000	1.240	1.178	40.0	
6.0	4.0	2.427	2.072	1.085	0.988	99999.000	1.357	1.178	40.0	
6.0	5.0	2.413	1.991	1.004	0.988	99999.000	1.305	1.178	40.0	
6.0	6.0	2.487	2.404	1.416	0.988	99999.000	1.550	1.178	40.0	
6.0	7.0	2.471	2.316	1.328	0.988	99999.000	1.502	1.178	40.0	
6.0	8.0	2.523	2.603	1.615	0.988	99999.000	1.656	1.178	40.0	
6.0	9.0	2.468	2.299	1.311	0.988	99999.000	1.492	1.178	40.0	
6.0	10.0	2.490	2.418	1.430	0.988	99999.000	1.558	1.178	40.0	
6.0	11.0	2.500	2.475	1.487	0.988	99999.000	1.589	1.178	40.0	
6.0	12.0	2.513	2.547	1.560	0.988	99999.000	1.627	1.178	40.0	
6.0	13.0	2.578	2.906	1.918	0.988	99999.000	1.804	1.178	40.0	
6.0	14.0	2.547	2.736	1.748	0.988	99999.000	1.723	1.178	40.0	
6.0	15.0	2.617	3.124	2.137	0.988	99999.000	1.904	1.178	40.0	
6.0	16.0	2.620	3.137	2.150	0.988	99999.000	1.910	1.178	40.0	
6.0	17.0	2.654	3.327	2.339	0.988	99999.000	1.993	1.178	40.0	
6.0	18.0	2.629	3.190	2.203	0.988	99999.000	1.934	1.178	40.0	
6.0	19.0	2.681	3.478	2.491	0.988	99999.000	2.056	1.178	40.0	
6.0	20.0	2.695	3.555	2.567	0.988	99999.000	2.088	1.178	40.0	
6.0	21.0	2.743	3.818	2.830	0.988	99999.000	2.192	1.178	40.0	
6.0	22.0	2.747	3.842	2.854	0.988	99999.000	2.201	1.178	40.0	
6.0	23.0	2.764	3.935	2.947	0.988	99999.000	2.237	1.178	40.0	
6.0	24.0	2.801	4.142	3.154	0.988	99999.000	2.314	1.178	40.0	
6.0	25.0	2.819	4.239	3.251	0.988	99999.000	2.349	1.178	40.0	
6.0	26.0	2.820	4.244	3.257	0.988	99999.000	2.351	1.178	40.0	
6.0	27.0	2.857	4.451	3.463	0.988	99999.000	2.425	1.178	40.0	
6.0	28.0	2.864	4.488	3.500	0.988	99999.000	2.438	1.178	40.0	
6.0	29.0	2.855	4.438	3.450	0.988	99999.000	2.420	1.178	40.0	
6.0	30.0	2.896	4.670	3.682	0.988	99999.000	2.500	1.178	40.0	
6.0	31.0	2.831	4.309	3.322	0.988	99999.000	2.375	1.178	40.0	
6.0	32.0	2.844	4.379	3.391	0.988	99999.000	2.399	1.178	40.0	
6.0	33.0	2.828	4.292	3.304	0.988	99999.000	2.368	1.178	40.0	
6.0	34.0	2.775	3.995	3.008	0.988	99999.000	2.260	1.178	40.0	
6.0	35.0	2.790	4.079	3.091	0.988	99999.000	2.291	1.178	40.0	
6.0	36.0	2.722	3.705	2.718	0.988	99999.000	2.148	1.178	40.0	
6.0	37.0	2.696	3.558	2.571	0.988	99999.000	2.089	1.178	40.0	
6.0	38.0	2.707	3.619	2.631	0.988	99999.000	2.113	1.178	40.0	
6.0	39.0	2.685	3.501	2.513	0.988	99999.000	2.065	1.178	40.0	
6.0	40.0	2.682	3.481	2.494	0.988	99999.000	2.057	1.178	40.0	
6.0	41.0	2.645	3.278	2.290	0.988	99999.000	1.972	1.178	40.0	
6.0	42.0	2.609	3.079	2.091	0.988	99999.000	1.884	1.178	40.0	
6.0	43.0	2.615	3.113	2.126	0.988	99999.000	1.900	1.178	40.0	
6.0	44.0	2.567	2.844	1.856	0.988	99999.000	1.775	1.178	40.0	
6.0	45.0	2.539	2.690	1.703	0.988	99999.000	1.700	1.178	40.0	
6.0	46.0	2.527	2.626	1.639	0.988	99999.000	1.668	1.178	40.0	
6.0	47.0	2.492	2.430	1.442	0.988	99999.000	1.564	1.178	40.0	
6.0	48.0	2.463	2.272	1.284	0.988	99999.000	1.476	1.178	40.0	
6.0	49.0	2.454	2.220	1.232	0.988	99999.000	1.446	1.178	40.0	
6.0	50.0	2.435	2.116	1.128	0.988	99999.000	1.384	1.178	40.0	
6.0	51.0	2.421	2.040	1.052	0.988	99999.000	1.336	1.178	40.0	
6.0	52.0	2.420	2.035	1.047	0.988	99999.000	1.333	1.178	40.0	
