x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.279	1.250	0.262	0.988	99999.000	0.667	1.178	40.0	
6.0	1.0	2.277	1.240	0.253	0.988	99999.000	0.655	1.178	40.0	
6.0	2.0	2.370	1.753	0.766	0.988	99999.000	1.140	1.178	40.0	
6.0	3.0	2.374	1.776	0.788	0.988	99999.000	1.157	1.178	40.0	
6.0	4.0	2.379	1.806	0.819	0.988	99999.000	1.179	1.178	40.0	
6.0	5.0	2.404	1.944	0.956	0.988	99999.000	1.274	1.178	40.0	
6.0	6.0	2.393	1.884	0.896	0.988	99999.000	1.234	1.178	40.0	
6.0	7.0	2.449	2.195	1.207	0.988	99999.000	1.431	1.178	40.0	
6.0	8.0	2.421	2.039	1.051	0.988	99999.000	1.336	1.178	40.0	
6.0	9.0	2.471	2.316	1.328	0.988	99999.000	1.502	1.178	40.0	
6.0	10.0	2.424	2.054	1.066	0.988	99999.000	1.345	1.178	40.0	
6.0	11.0	2.474	2.330	1.342	0.988	99999.000	1.509	1.178	40.0	
6.0	12.0	2.492	2.433	1.445	0.988	99999.000	1.566	1.178	40.0	
6.0	13.0	2.507	2.513	1.525	0.988	99999.000	1.609	1.178	40.0	
6.0	14.0	2.523	2.603	1.615	0.988	99999.000	1.656	1.178	40.0	
6.0	15.0	2.583	2.937	1.949	0.988	99999.000	1.819	1.178	40.0	
6.0	16.0	2.568	2.849	1.862	0.988	99999.000	1.778	1.178	40.0	
6.0	17.0	2.604	3.051	2.063	0.988	99999.000	1.871	1.178	40.0	
6.0	18.0	2.616	3.116	2.128	0.988	99999.000	1.901	1.178	40.0	
6.0	19.0	2.635	3.224	2.236	0.988	99999.000	1.948	1.178	40.0	
6.0	20.0	2.676	3.448	2.460	0.988	99999.000	2.044	1.178	40.0	
6.0	21.0	2.741	3.811	2.824	0.988	99999.000	2.189	1.178	40.0	
6.0	22.0	2.791	4.085	3.098	0.988	99999.000	2.293	1.178	40.0	
6.0	23.0	2.779	4.018	3.031	0.988	99999.000	2.268	1.178	40.0	
6.0	24.0	2.829	4.297	3.310	0.988	99999.000	2.370	1.178	40.0	
6.0	25.0	2.786	4.058	3.071	0.988	99999.000	2.283	1.178	40.0	
6.0	26.0	2.868	4.514	3.526	0.988	99999.000	2.447	1.178	40.0	
6.0	27.0	2.851	4.419	3.431	0.988	99999.000	2.413	1.178	40.0	
6.0	28.0	2.848	4.405	3.417	0.988	99999.000	2.408	1.178	40.0	
6.0	29.0	2.862	4.481	3.494	0.988	99999.000	2.435	1.178	40.0	
6.0	30.0	2.866	4.502	3.514	0.988	99999.000	2.442	1.178	40.0	
6.0	31.0	2.824	4.267	3.279	0.988	99999.000	2.359	1.178	40.0	
6.0	32.0	2.826	4.281	3.294	0.988	99999.000	2.364	1.178	40.0	
6.0	33.0	2.807	4.173	3.185	0.988	99999.000	2.325	1.178	40.0	
6.0	34.0	2.768	3.959	2.971	0.988	99999.000	2.246	1.178	40.0	
6.0	35.0	2.761	3.919	2.931	0.988	99999.000	2.231	1.178	40.0	
6.0	36.0	2.755	3.887	2.900	0.988	99999.000	2.219	1.178	40.0	
6.0	37.0	2.720	3.695	2.707	0.988	99999.000	2.144	1.178	40.0	
6.0	38.0	2.687	3.510	2.522	0.988	99999.000	2.069	1.178	40.0	
6.0	39.0	2.662	3.372	2.384	0.988	99999.000	2.012	1.178	40.0	
6.0	40.0	2.652	3.319	2.331	0.988	99999.000	1.989	1.178	40.0	
6.0	41.0	2.638	3.241	2.254	0.988	99999.000	1.956	1.178	40.0	
6.0	42.0	2.583	2.933	1.945	0.988	99999.000	1.817	1.178	40.0	
6.0	43.0	2.582	2.928	1.941	0.988	99999.000	1.815	1.178	40.0	
6.0	44.0	2.552	2.764	1.776	0.988	99999.000	1.736	1.178	40.0	
6.0	45.0	2.531	2.645	1.657	0.988	99999.000	1.677	1.178	40.0	
6.0	46.0	2.500	2.478	1.491	0.988	99999.000	1.591	1.178	40.0	
6.0	47.0	2.522	2.598	1.611	0.988	99999.000	1.654	1.178	40.0	
6.0	48.0	2.474	2.333	1.346	0.988	99999.000	1.511	1.178	40.0	
6.0	49.0	2.455	2.227	1.240	0.988	99999.000	1.451	1.178	40.0	
6.0	50.0	2.446	2.177	1.190	0.988	99999.000	1.421	1.178	40.0	
6.0	51.0	2.424	2.056	1.069	0.988	99999.000	1.347	1.178	40.0	
6.0	52.0	2.415	2.004	1.017	0.988	99999.000	1.314	1.178	40.0	
