x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.295	1.340	0.352	0.988	99999.000	0.773	1.178	40.0	
6.0	1.0	2.287	1.294	0.307	0.988	99999.000	0.722	1.178	40.0	
6.0	2.0	2.379	1.805	0.817	0.988	99999.000	1.178	1.178	40.0	
6.0	3.0	2.407	1.962	0.974	0.988	99999.000	1.286	1.178	40.0	
6.0	4.0	2.407	1.960	0.972	0.988	99999.000	1.285	1.178	40.0	
6.0	5.0	2.397	1.905	0.917	0.988	99999.000	1.248	1.178	40.0	
6.0	6.0	2.425	2.059	1.072	0.988	99999.000	1.349	1.178	40.0	
6.0	7.0	2.426	2.065	1.077	0.988	99999.000	1.352	1.178	40.0	
6.0	8.0	2.513	2.546	1.559	0.988	99999.000	1.627	1.178	40.0	
6.0	9.0	2.495	2.448	1.460	0.988	99999.000	1.574	1.178	40.0	
6.0	10.0	2.469	2.305	1.317	0.988	99999.000	1.495	1.178	40.0	
6.0	11.0	2.498	2.466	1.479	0.988	99999.000	1.584	1.178	40.0	
6.0	12.0	2.554	2.775	1.787	0.988	99999.000	1.742	1.178	40.0	
6.0	13.0	2.575	2.888	1.901	0.988	99999.000	1.796	1.178	40.0	
6.0	14.0	2.589	2.970	1.982	0.988	99999.000	1.834	1.178	40.0	
6.0	15.0	2.601	3.036	2.048	0.988	99999.000	1.864	1.178	40.0	
6.0	16.0	2.598	3.018	2.031	0.988	99999.000	1.857	1.178	40.0	
6.0	17.0	2.597	3.014	2.026	0.988	99999.000	1.855	1.178	40.0	
6.0	18.0	2.671	3.423	2.435	0.988	99999.000	2.033	1.178	40.0	
6.0	19.0	2.653	3.322	2.335	0.988	99999.000	1.991	1.178	40.0	
6.0	20.0	2.688	3.516	2.528	0.988	99999.000	2.072	1.178	40.0	
6.0	21.0	2.734	3.769	2.782	0.988	99999.000	2.173	1.178	40.0	
6.0	22.0	2.719	3.690	2.703	0.988	99999.000	2.142	1.178	40.0	
6.0	23.0	2.743	3.823	2.836	0.988	99999.000	2.194	1.178	40.0	
6.0	24.0	2.810	4.193	3.206	0.988	99999.000	2.333	1.178	40.0	
6.0	25.0	2.814	4.216	3.229	0.988	99999.000	2.341	1.178	40.0	
6.0	26.0	2.827	4.284	3.297	0.988	99999.000	2.366	1.178	40.0	
6.0	27.0	2.821	4.251	3.263	0.988	99999.000	2.354	1.178	40.0	
6.0	28.0	2.861	4.473	3.485	0.988	99999.000	2.432	1.178	40.0	
6.0	29.0	2.882	4.587	3.600	0.988	99999.000	2.472	1.178	40.0	
6.0	30.0	2.860	4.467	3.480	0.988	99999.000	2.430	1.178	40.0	
6.0	31.0	2.853	4.429	3.442	0.988	99999.000	2.417	1.178	40.0	
6.0	32.0	2.861	4.475	3.487	0.988	99999.000	2.433	1.178	40.0	
6.0	33.0	2.830	4.305	3.317	0.988	99999.000	2.373	1.178	40.0	
6.0	34.0	2.830	4.303	3.315	0.988	99999.000	2.372	1.178	40.0	
6.0	35.0	2.800	4.134	3.146	0.988	99999.000	2.311	1.178	40.0	
6.0	36.0	2.802	4.147	3.159	0.988	99999.000	2.316	1.178	40.0	
6.0	37.0	2.743	3.819	2.831	0.988	99999.000	2.192	1.178	40.0	
6.0	38.0	2.706	3.618	2.630	0.988	99999.000	2.113	1.178	40.0	
6.0	39.0	2.687	3.508	2.521	0.988	99999.000	2.069	1.178	40.0	
6.0	40.0	2.674	3.437	2.449	0.988	99999.000	2.039	1.178	40.0	
6.0	41.0	2.642	3.261	2.273	0.988	99999.000	1.964	1.178	40.0	
6.0	42.0	2.621	3.145	2.157	0.988	99999.000	1.914	1.178	40.0	
6.0	43.0	2.590	2.976	1.988	0.988	99999.000	1.837	1.178	40.0	
6.0	44.0	2.545	2.723	1.735	0.988	99999.000	1.716	1.178	40.0	
6.0	45.0	2.559	2.804	1.816	0.988	99999.000	1.756	1.178	40.0	
6.0	46.0	2.539	2.694	1.706	0.988	99999.000	1.702	1.178	40.0	
6.0	47.0	2.515	2.559	1.572	0.988	99999.000	1.633	1.178	40.0	
6.0	48.0	2.487	2.401	1.414	0.988	99999.000	1.549	1.178	40.0	
6.0	49.0	2.454	2.223	1.235	0.988	99999.000	1.448	1.178	40.0	
6.0	50.0	2.449	2.191	1.204	0.988	99999.000	1.429	1.178	40.0	
6.0	51.0	2.421	2.040	1.052	0.988	99999.000	1.336	1.178	40.0	
6.0	52.0	2.422	2.043	1.056	0.988	99999.000	1.339	1.178	40.0	
