x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.490	2.950	0.207	2.743	99999.000	0.593	1.176	50.0	
1.0	1.0	2.496	3.250	0.508	2.743	99999.000	0.929	1.176	50.0	
1.0	2.0	2.502	3.541	0.799	2.743	99999.000	1.165	1.176	50.0	
1.0	3.0	2.506	3.742	0.999	2.743	99999.000	1.303	1.176	50.0	
1.0	4.0	2.501	3.531	0.789	2.743	99999.000	1.158	1.176	50.0	
1.0	5.0	2.502	3.581	0.839	2.743	99999.000	1.194	1.176	50.0	
1.0	6.0	2.504	3.651	0.909	2.743	99999.000	1.243	1.176	50.0	
1.0	7.0	2.508	3.842	1.099	2.743	99999.000	1.367	1.176	50.0	
1.0	8.0	2.504	3.671	0.929	2.743	99999.000	1.257	1.176	50.0	
1.0	9.0	2.506	3.742	0.999	2.743	99999.000	1.303	1.176	50.0	
1.0	10.0	2.505	3.731	0.989	2.743	99999.000	1.297	1.176	50.0	
1.0	11.0	2.506	3.762	1.019	2.743	99999.000	1.316	1.176	50.0	
1.0	12.0	2.506	3.742	0.999	2.743	99999.000	1.303	1.176	50.0	
1.0	13.0	2.506	3.782	1.039	2.743	99999.000	1.329	1.176	50.0	
1.0	14.0	2.509	3.942	1.199	2.743	99999.000	1.428	1.176	50.0	
1.0	15.0	2.514	4.193	1.450	2.743	99999.000	1.570	1.176	50.0	
1.0	16.0	2.535	5.275	2.533	2.743	99999.000	2.075	1.176	50.0	
1.0	17.0	2.576	7.360	4.617	2.743	99999.000	2.802	1.176	50.0	
1.0	18.0	2.639	10.608	7.865	2.743	99999.000	3.657	1.176	50.0	
1.0	19.0	2.731	15.319	12.576	2.743	99999.000	4.624	1.176	50.0	
1.0	20.0	2.859	21.864	19.121	2.743	99999.000	5.701	1.176	50.0	
1.0	21.0	3.031	30.704	27.962	2.743	99999.000	6.895	1.176	50.0	
1.0	22.0	3.238	41.309	38.567	2.743	99999.000	8.097	1.176	50.0	
1.0	23.0	3.451	52.225	49.482	2.743	99999.000	9.172	1.176	50.0	
1.0	24.0	3.643	62.068	59.325	2.743	99999.000	10.043	1.176	50.0	
1.0	25.0	3.766	68.372	65.630	2.743	99999.000	10.563	1.176	50.0	
1.0	26.0	3.791	69.655	66.913	2.743	99999.000	10.665	1.176	50.0	
1.0	27.0	3.766	68.352	65.610	2.743	99999.000	10.561	1.176	50.0	
1.0	28.0	3.717	65.826	63.084	2.743	99999.000	10.356	1.176	50.0	
1.0	29.0	3.675	63.681	60.939	2.743	99999.000	10.178	1.176	50.0	
1.0	30.0	3.624	61.105	58.363	2.743	99999.000	9.961	1.176	50.0	
1.0	31.0	3.593	59.482	56.739	2.743	99999.000	9.821	1.176	50.0	
1.0	32.0	3.562	57.908	55.165	2.743	99999.000	9.684	1.176	50.0	
1.0	33.0	3.500	54.741	51.998	2.743	99999.000	9.402	1.176	50.0	
1.0	34.0	3.401	49.669	46.926	2.743	99999.000	8.932	1.176	50.0	
1.0	35.0	3.261	42.482	39.739	2.743	99999.000	8.219	1.176	50.0	
1.0	36.0	3.103	34.373	31.631	2.743	99999.000	7.333	1.176	50.0	
1.0	37.0	2.960	27.046	24.303	2.743	99999.000	6.428	1.176	50.0	
1.0	38.0	2.827	20.220	17.477	2.743	99999.000	5.451	1.176	50.0	
1.0	39.0	2.732	15.349	12.606	2.743	99999.000	4.629	1.176	50.0	
1.0	40.0	2.646	10.958	8.216	2.743	99999.000	3.737	1.176	50.0	
1.0	41.0	2.589	8.022	5.279	2.743	99999.000	2.996	1.176	50.0	
1.0	42.0	2.549	5.967	3.224	2.743	99999.000	2.341	1.176	50.0	
1.0	43.0	2.535	5.225	2.482	2.743	99999.000	2.054	1.176	50.0	
1.0	44.0	2.525	4.744	2.001	2.743	99999.000	1.845	1.176	50.0	
1.0	45.0	2.519	4.433	1.691	2.743	99999.000	1.695	1.176	50.0	
1.0	46.0	2.523	4.634	1.891	2.743	99999.000	1.793	1.176	50.0	
1.0	47.0	2.522	4.563	1.821	2.743	99999.000	1.759	1.176	50.0	
1.0	48.0	2.516	4.293	1.550	2.743	99999.000	1.623	1.176	50.0	
1.0	49.0	2.522	4.604	1.861	2.743	99999.000	1.779	1.176	50.0	
1.0	50.0	2.520	4.463	1.721	2.743	99999.000	1.710	1.176	50.0	
1.0	51.0	2.521	4.533	1.791	2.743	99999.000	1.745	1.176	50.0	
1.0	52.0	2.518	4.373	1.630	2.743	99999.000	1.665	1.176	50.0	
