x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.491	2.980	0.259	2.721	99999.000	0.663	1.176	50.0	
1.0	1.0	2.500	3.471	0.750	2.721	99999.000	1.129	1.176	50.0	
1.0	2.0	2.501	3.511	0.790	2.721	99999.000	1.159	1.176	50.0	
1.0	3.0	2.503	3.591	0.870	2.721	99999.000	1.216	1.176	50.0	
1.0	4.0	2.500	3.471	0.750	2.721	99999.000	1.129	1.176	50.0	
1.0	5.0	2.501	3.501	0.780	2.721	99999.000	1.152	1.176	50.0	
1.0	6.0	2.503	3.621	0.900	2.721	99999.000	1.237	1.176	50.0	
1.0	7.0	2.503	3.611	0.890	2.721	99999.000	1.230	1.176	50.0	
1.0	8.0	2.503	3.621	0.900	2.721	99999.000	1.237	1.176	50.0	
1.0	9.0	2.503	3.601	0.880	2.721	99999.000	1.223	1.176	50.0	
1.0	10.0	2.504	3.681	0.961	2.721	99999.000	1.278	1.176	50.0	
1.0	11.0	2.505	3.701	0.981	2.721	99999.000	1.291	1.176	50.0	
1.0	12.0	2.504	3.681	0.961	2.721	99999.000	1.278	1.176	50.0	
1.0	13.0	2.508	3.862	1.141	2.721	99999.000	1.393	1.176	50.0	
1.0	14.0	2.513	4.142	1.422	2.721	99999.000	1.555	1.176	50.0	
1.0	15.0	2.514	4.173	1.452	2.721	99999.000	1.571	1.176	50.0	
1.0	16.0	2.534	5.185	2.464	2.721	99999.000	2.047	1.176	50.0	
1.0	17.0	2.576	7.370	4.649	2.721	99999.000	2.811	1.176	50.0	
1.0	18.0	2.642	10.758	8.037	2.721	99999.000	3.696	1.176	50.0	
1.0	19.0	2.733	15.409	12.688	2.721	99999.000	4.644	1.176	50.0	
1.0	20.0	2.874	22.656	19.935	2.721	99999.000	5.821	1.176	50.0	
1.0	21.0	3.056	31.977	29.257	2.721	99999.000	7.052	1.176	50.0	
1.0	22.0	3.249	41.851	39.130	2.721	99999.000	8.156	1.176	50.0	
1.0	23.0	3.463	52.846	50.125	2.721	99999.000	9.231	1.176	50.0	
1.0	24.0	3.661	62.970	60.249	2.721	99999.000	10.120	1.176	50.0	
1.0	25.0	3.767	68.413	65.692	2.721	99999.000	10.568	1.176	50.0	
1.0	26.0	3.792	69.675	66.955	2.721	99999.000	10.669	1.176	50.0	
1.0	27.0	3.769	68.493	65.772	2.721	99999.000	10.574	1.176	50.0	
1.0	28.0	3.726	66.308	63.587	2.721	99999.000	10.397	1.176	50.0	
1.0	29.0	3.678	63.852	61.131	2.721	99999.000	10.194	1.176	50.0	
1.0	30.0	3.635	61.647	58.926	2.721	99999.000	10.009	1.176	50.0	
1.0	31.0	3.599	59.812	57.092	2.721	99999.000	9.852	1.176	50.0	
1.0	32.0	3.557	57.667	54.947	2.721	99999.000	9.665	1.176	50.0	
1.0	33.0	3.501	54.781	52.060	2.721	99999.000	9.408	1.176	50.0	
1.0	34.0	3.399	49.548	46.828	2.721	99999.000	8.922	1.176	50.0	
1.0	35.0	3.260	42.442	39.721	2.721	99999.000	8.217	1.176	50.0	
1.0	36.0	3.108	34.604	31.883	2.721	99999.000	7.362	1.176	50.0	
1.0	37.0	2.960	27.046	24.325	2.721	99999.000	6.431	1.176	50.0	
1.0	38.0	2.827	20.240	17.519	2.721	99999.000	5.457	1.176	50.0	
1.0	39.0	2.734	15.449	12.728	2.721	99999.000	4.652	1.176	50.0	
1.0	40.0	2.643	10.798	8.077	2.721	99999.000	3.706	1.176	50.0	
1.0	41.0	2.588	7.971	5.251	2.721	99999.000	2.988	1.176	50.0	
1.0	42.0	2.554	6.207	3.486	2.721	99999.000	2.435	1.176	50.0	
1.0	43.0	2.529	4.964	2.244	2.721	99999.000	1.953	1.176	50.0	
1.0	44.0	2.525	4.724	2.003	2.721	99999.000	1.845	1.176	50.0	
1.0	45.0	2.519	4.423	1.702	2.721	99999.000	1.701	1.176	50.0	
1.0	46.0	2.521	4.523	1.803	2.721	99999.000	1.751	1.176	50.0	
1.0	47.0	2.520	4.473	1.752	2.721	99999.000	1.726	1.176	50.0	
1.0	48.0	2.517	4.303	1.582	2.721	99999.000	1.640	1.176	50.0	
1.0	49.0	2.519	4.433	1.712	2.721	99999.000	1.706	1.176	50.0	
1.0	50.0	2.519	4.413	1.692	2.721	99999.000	1.696	1.176	50.0	
1.0	51.0	2.523	4.614	1.893	2.721	99999.000	1.794	1.176	50.0	
1.0	52.0	2.520	4.473	1.752	2.721	99999.000	1.726	1.176	50.0	
