x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.490	2.960	0.296	2.664	99999.000	0.709	1.176	50.0	
1.0	1.0	2.496	3.230	0.566	2.664	99999.000	0.981	1.176	50.0	
1.0	2.0	2.504	3.641	0.977	2.664	99999.000	1.289	1.176	50.0	
1.0	3.0	2.498	3.341	0.677	2.664	99999.000	1.072	1.176	50.0	
1.0	4.0	2.500	3.441	0.777	2.664	99999.000	1.149	1.176	50.0	
1.0	5.0	2.502	3.551	0.887	2.664	99999.000	1.228	1.176	50.0	
1.0	6.0	2.501	3.511	0.847	2.664	99999.000	1.200	1.176	50.0	
1.0	7.0	2.504	3.671	1.007	2.664	99999.000	1.309	1.176	50.0	
1.0	8.0	2.505	3.691	1.027	2.664	99999.000	1.322	1.176	50.0	
1.0	9.0	2.503	3.621	0.957	2.664	99999.000	1.276	1.176	50.0	
1.0	10.0	2.502	3.581	0.917	2.664	99999.000	1.249	1.176	50.0	
1.0	11.0	2.503	3.631	0.967	2.664	99999.000	1.282	1.176	50.0	
1.0	12.0	2.507	3.802	1.138	2.664	99999.000	1.391	1.176	50.0	
1.0	13.0	2.507	3.812	1.148	2.664	99999.000	1.397	1.176	50.0	
1.0	14.0	2.512	4.052	1.388	2.664	99999.000	1.536	1.176	50.0	
1.0	15.0	2.519	4.453	1.789	2.664	99999.000	1.744	1.176	50.0	
1.0	16.0	2.538	5.405	2.741	2.664	99999.000	2.159	1.176	50.0	
1.0	17.0	2.573	7.210	4.546	2.664	99999.000	2.780	1.176	50.0	
1.0	18.0	2.634	10.317	7.653	2.664	99999.000	3.607	1.176	50.0	
1.0	19.0	2.726	15.048	12.384	2.664	99999.000	4.588	1.176	50.0	
1.0	20.0	2.862	22.014	19.350	2.664	99999.000	5.735	1.176	50.0	
1.0	21.0	3.035	30.865	28.201	2.664	99999.000	6.924	1.176	50.0	
1.0	22.0	3.233	41.039	38.375	2.664	99999.000	8.077	1.176	50.0	
1.0	23.0	3.463	52.826	50.162	2.664	99999.000	9.234	1.176	50.0	
1.0	24.0	3.655	62.659	59.995	2.664	99999.000	10.099	1.176	50.0	
1.0	25.0	3.768	68.443	65.779	2.664	99999.000	10.575	1.176	50.0	
1.0	26.0	3.785	69.335	66.671	2.664	99999.000	10.646	1.176	50.0	
1.0	27.0	3.762	68.142	65.478	2.664	99999.000	10.550	1.176	50.0	
1.0	28.0	3.715	65.736	63.072	2.664	99999.000	10.355	1.176	50.0	
1.0	29.0	3.674	63.621	60.957	2.664	99999.000	10.180	1.176	50.0	
1.0	30.0	3.628	61.296	58.632	2.664	99999.000	9.984	1.176	50.0	
1.0	31.0	3.591	59.412	56.748	2.664	99999.000	9.822	1.176	50.0	
1.0	32.0	3.558	57.698	55.034	2.664	99999.000	9.672	1.176	50.0	
1.0	33.0	3.496	54.540	51.876	2.664	99999.000	9.391	1.176	50.0	
1.0	34.0	3.390	49.087	46.423	2.664	99999.000	8.884	1.176	50.0	
1.0	35.0	3.256	42.191	39.527	2.664	99999.000	8.197	1.176	50.0	
1.0	36.0	3.111	34.804	32.140	2.664	99999.000	7.392	1.176	50.0	
1.0	37.0	2.961	27.076	24.412	2.664	99999.000	6.442	1.176	50.0	
1.0	38.0	2.833	20.531	17.867	2.664	99999.000	5.511	1.176	50.0	
1.0	39.0	2.725	14.988	12.324	2.664	99999.000	4.577	1.176	50.0	
1.0	40.0	2.642	10.758	8.094	2.664	99999.000	3.709	1.176	50.0	
1.0	41.0	2.591	8.142	5.478	2.664	99999.000	3.052	1.176	50.0	
1.0	42.0	2.549	5.977	3.313	2.664	99999.000	2.373	1.176	50.0	
1.0	43.0	2.531	5.025	2.361	2.664	99999.000	2.003	1.176	50.0	
1.0	44.0	2.521	4.533	1.869	2.664	99999.000	1.783	1.176	50.0	
1.0	45.0	2.524	4.694	2.030	2.664	99999.000	1.858	1.176	50.0	
1.0	46.0	2.520	4.493	1.829	2.664	99999.000	1.763	1.176	50.0	
1.0	47.0	2.520	4.473	1.809	2.664	99999.000	1.754	1.176	50.0	
1.0	48.0	2.524	4.684	2.020	2.664	99999.000	1.853	1.176	50.0	
1.0	49.0	2.522	4.583	1.919	2.664	99999.000	1.806	1.176	50.0	
1.0	50.0	2.521	4.513	1.849	2.664	99999.000	1.773	1.176	50.0	
1.0	51.0	2.526	4.774	2.110	2.664	99999.000	1.894	1.176	50.0	
1.0	52.0	2.521	4.533	1.869	2.664	99999.000	1.783	1.176	50.0	
