x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.489	2.890	0.117	2.773	99999.000	0.446	1.176	50.0	
1.0	1.0	2.495	3.210	0.438	2.773	99999.000	0.863	1.176	50.0	
1.0	2.0	2.497	3.321	0.548	2.773	99999.000	0.965	1.176	50.0	
1.0	3.0	2.500	3.461	0.688	2.773	99999.000	1.082	1.176	50.0	
1.0	4.0	2.508	3.872	1.099	2.773	99999.000	1.367	1.176	50.0	
1.0	5.0	2.503	3.591	0.819	2.773	99999.000	1.180	1.176	50.0	
1.0	6.0	2.504	3.671	0.899	2.773	99999.000	1.236	1.176	50.0	
1.0	7.0	2.504	3.641	0.869	2.773	99999.000	1.215	1.176	50.0	
1.0	8.0	2.507	3.792	1.019	2.773	99999.000	1.316	1.176	50.0	
1.0	9.0	2.504	3.671	0.899	2.773	99999.000	1.236	1.176	50.0	
1.0	10.0	2.503	3.631	0.859	2.773	99999.000	1.208	1.176	50.0	
1.0	11.0	2.504	3.661	0.889	2.773	99999.000	1.229	1.176	50.0	
1.0	12.0	2.507	3.832	1.059	2.773	99999.000	1.342	1.176	50.0	
1.0	13.0	2.507	3.802	1.029	2.773	99999.000	1.323	1.176	50.0	
1.0	14.0	2.509	3.942	1.169	2.773	99999.000	1.410	1.176	50.0	
1.0	15.0	2.515	4.233	1.460	2.773	99999.000	1.575	1.176	50.0	
1.0	16.0	2.534	5.175	2.402	2.773	99999.000	2.021	1.176	50.0	
1.0	17.0	2.570	7.059	4.287	2.773	99999.000	2.699	1.176	50.0	
1.0	18.0	2.636	10.417	7.645	2.773	99999.000	3.605	1.176	50.0	
1.0	19.0	2.725	14.978	12.205	2.773	99999.000	4.555	1.176	50.0	
1.0	20.0	2.860	21.894	19.121	2.773	99999.000	5.701	1.176	50.0	
1.0	21.0	3.026	30.444	27.671	2.773	99999.000	6.859	1.176	50.0	
1.0	22.0	3.233	41.049	38.276	2.773	99999.000	8.067	1.176	50.0	
1.0	23.0	3.457	52.495	49.723	2.773	99999.000	9.194	1.176	50.0	
1.0	24.0	3.641	61.978	59.205	2.773	99999.000	10.032	1.176	50.0	
1.0	25.0	3.759	68.002	65.229	2.773	99999.000	10.530	1.176	50.0	
1.0	26.0	3.787	69.415	66.642	2.773	99999.000	10.644	1.176	50.0	
1.0	27.0	3.760	68.042	65.269	2.773	99999.000	10.534	1.176	50.0	
1.0	28.0	3.715	65.726	62.954	2.773	99999.000	10.345	1.176	50.0	
1.0	29.0	3.672	63.541	60.769	2.773	99999.000	10.164	1.176	50.0	
1.0	30.0	3.631	61.436	58.664	2.773	99999.000	9.986	1.176	50.0	
1.0	31.0	3.600	59.832	57.060	2.773	99999.000	9.849	1.176	50.0	
1.0	32.0	3.564	58.018	55.246	2.773	99999.000	9.691	1.176	50.0	
1.0	33.0	3.501	54.761	51.988	2.773	99999.000	9.401	1.176	50.0	
1.0	34.0	3.406	49.899	47.127	2.773	99999.000	8.951	1.176	50.0	
1.0	35.0	3.266	42.753	39.980	2.773	99999.000	8.244	1.176	50.0	
1.0	36.0	3.116	35.025	32.252	2.773	99999.000	7.405	1.176	50.0	
1.0	37.0	2.956	26.815	24.043	2.773	99999.000	6.393	1.176	50.0	
1.0	38.0	2.830	20.400	17.628	2.773	99999.000	5.474	1.176	50.0	
1.0	39.0	2.728	15.138	12.366	2.773	99999.000	4.585	1.176	50.0	
1.0	40.0	2.644	10.848	8.076	2.773	99999.000	3.705	1.176	50.0	
1.0	41.0	2.588	7.951	5.179	2.773	99999.000	2.967	1.176	50.0	
1.0	42.0	2.546	5.816	3.044	2.773	99999.000	2.275	1.176	50.0	
1.0	43.0	2.529	4.934	2.162	2.773	99999.000	1.917	1.176	50.0	
1.0	44.0	2.521	4.523	1.751	2.773	99999.000	1.725	1.176	50.0	
1.0	45.0	2.517	4.323	1.550	2.773	99999.000	1.623	1.176	50.0	
1.0	46.0	2.515	4.243	1.470	2.773	99999.000	1.581	1.176	50.0	
1.0	47.0	2.517	4.333	1.560	2.773	99999.000	1.629	1.176	50.0	
1.0	48.0	2.521	4.523	1.751	2.773	99999.000	1.725	1.176	50.0	
1.0	49.0	2.519	4.413	1.640	2.773	99999.000	1.670	1.176	50.0	
1.0	50.0	2.515	4.203	1.430	2.773	99999.000	1.559	1.176	50.0	
1.0	51.0	2.512	4.072	1.300	2.773	99999.000	1.486	1.176	50.0	
1.0	52.0	2.517	4.313	1.540	2.773	99999.000	1.618	1.176	50.0	
