x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.488	2.819	0.087	2.732	99999.000	0.384	1.176	35.0	
1.0	1.0	2.488	2.849	0.117	2.732	99999.000	0.446	1.176	35.0	
1.0	2.0	2.489	2.869	0.137	2.732	99999.000	0.483	1.176	35.0	
1.0	3.0	2.491	3.000	0.267	2.732	99999.000	0.674	1.176	35.0	
1.0	4.0	2.492	3.030	0.297	2.732	99999.000	0.711	1.176	35.0	
1.0	5.0	2.492	3.070	0.337	2.732	99999.000	0.757	1.176	35.0	
1.0	6.0	2.491	3.000	0.267	2.732	99999.000	0.674	1.176	35.0	
1.0	7.0	2.492	3.050	0.317	2.732	99999.000	0.735	1.176	35.0	
1.0	8.0	2.494	3.130	0.398	2.732	99999.000	0.822	1.176	35.0	
1.0	9.0	2.494	3.170	0.438	2.732	99999.000	0.863	1.176	35.0	
1.0	10.0	2.496	3.230	0.498	2.732	99999.000	0.920	1.176	35.0	
1.0	11.0	2.496	3.240	0.508	2.732	99999.000	0.929	1.176	35.0	
1.0	12.0	2.495	3.190	0.458	2.732	99999.000	0.882	1.176	35.0	
1.0	13.0	2.495	3.220	0.488	2.732	99999.000	0.911	1.176	35.0	
1.0	14.0	2.495	3.180	0.448	2.732	99999.000	0.872	1.176	35.0	
1.0	15.0	2.495	3.210	0.478	2.732	99999.000	0.901	1.176	35.0	
1.0	16.0	2.498	3.371	0.638	2.732	99999.000	1.042	1.176	35.0	
1.0	17.0	2.506	3.762	1.029	2.732	99999.000	1.323	1.176	35.0	
1.0	18.0	2.523	4.624	1.891	2.732	99999.000	1.793	1.176	35.0	
1.0	19.0	2.543	5.656	2.923	2.732	99999.000	2.229	1.176	35.0	
1.0	20.0	2.576	7.360	4.627	2.732	99999.000	2.805	1.176	35.0	
1.0	21.0	2.625	9.866	7.133	2.732	99999.000	3.482	1.176	35.0	
1.0	22.0	2.687	13.023	10.291	2.732	99999.000	4.183	1.176	35.0	
1.0	23.0	2.765	17.063	14.330	2.732	99999.000	4.936	1.176	35.0	
1.0	24.0	2.853	21.563	18.831	2.732	99999.000	5.658	1.176	35.0	
1.0	25.0	2.948	26.414	23.682	2.732	99999.000	6.345	1.176	35.0	
1.0	26.0	3.020	30.103	27.371	2.732	99999.000	6.821	1.176	35.0	
1.0	27.0	3.059	32.098	29.365	2.732	99999.000	7.065	1.176	35.0	
1.0	28.0	3.064	32.378	29.646	2.732	99999.000	7.099	1.176	35.0	
1.0	29.0	3.052	31.737	29.004	2.732	99999.000	7.022	1.176	35.0	
1.0	30.0	3.035	30.885	28.152	2.732	99999.000	6.918	1.176	35.0	
1.0	31.0	3.014	29.832	27.100	2.732	99999.000	6.787	1.176	35.0	
1.0	32.0	2.999	29.061	26.328	2.732	99999.000	6.690	1.176	35.0	
1.0	33.0	2.982	28.189	25.456	2.732	99999.000	6.578	1.176	35.0	
1.0	34.0	2.956	26.835	24.103	2.732	99999.000	6.401	1.176	35.0	
1.0	35.0	2.917	24.851	22.118	2.732	99999.000	6.132	1.176	35.0	
1.0	36.0	2.872	22.515	19.783	2.732	99999.000	5.799	1.176	35.0	
1.0	37.0	2.802	18.927	16.194	2.732	99999.000	5.247	1.176	35.0	
1.0	38.0	2.734	15.469	12.736	2.732	99999.000	4.653	1.176	35.0	
1.0	39.0	2.674	12.372	9.639	2.732	99999.000	4.048	1.176	35.0	
1.0	40.0	2.622	9.695	6.963	2.732	99999.000	3.440	1.176	35.0	
1.0	41.0	2.579	7.520	4.788	2.732	99999.000	2.853	1.176	35.0	
1.0	42.0	2.550	6.007	3.274	2.732	99999.000	2.359	1.176	35.0	
1.0	43.0	2.527	4.834	2.102	2.732	99999.000	1.890	1.176	35.0	
1.0	44.0	2.513	4.102	1.370	2.732	99999.000	1.526	1.176	35.0	
1.0	45.0	2.503	3.621	0.889	2.732	99999.000	1.229	1.176	35.0	
1.0	46.0	2.502	3.561	0.829	2.732	99999.000	1.187	1.176	35.0	
1.0	47.0	2.501	3.491	0.758	2.732	99999.000	1.135	1.176	35.0	
1.0	48.0	2.501	3.501	0.768	2.732	99999.000	1.143	1.176	35.0	
1.0	49.0	2.500	3.461	0.728	2.732	99999.000	1.113	1.176	35.0	
1.0	50.0	2.501	3.521	0.789	2.732	99999.000	1.158	1.176	35.0	
1.0	51.0	2.501	3.491	0.758	2.732	99999.000	1.135	1.176	35.0	
1.0	52.0	2.500	3.481	0.748	2.732	99999.000	1.128	1.176	35.0	
