x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.487	2.779	0.074	2.706	99999.000	0.353	1.176	35.0	
1.0	1.0	2.487	2.799	0.094	2.706	99999.000	0.399	1.176	35.0	
1.0	2.0	2.489	2.869	0.164	2.706	99999.000	0.528	1.176	35.0	
1.0	3.0	2.490	2.940	0.234	2.706	99999.000	0.631	1.176	35.0	
1.0	4.0	2.491	2.970	0.264	2.706	99999.000	0.670	1.176	35.0	
1.0	5.0	2.493	3.100	0.394	2.706	99999.000	0.819	1.176	35.0	
1.0	6.0	2.492	3.030	0.324	2.706	99999.000	0.742	1.176	35.0	
1.0	7.0	2.492	3.070	0.364	2.706	99999.000	0.787	1.176	35.0	
1.0	8.0	2.494	3.170	0.464	2.706	99999.000	0.889	1.176	35.0	
1.0	9.0	2.492	3.070	0.364	2.706	99999.000	0.787	1.176	35.0	
1.0	10.0	2.493	3.120	0.414	2.706	99999.000	0.839	1.176	35.0	
1.0	11.0	2.494	3.160	0.454	2.706	99999.000	0.879	1.176	35.0	
1.0	12.0	2.497	3.280	0.575	2.706	99999.000	0.988	1.176	35.0	
1.0	13.0	2.496	3.240	0.535	2.706	99999.000	0.953	1.176	35.0	
1.0	14.0	2.497	3.290	0.585	2.706	99999.000	0.997	1.176	35.0	
1.0	15.0	2.497	3.290	0.585	2.706	99999.000	0.997	1.176	35.0	
1.0	16.0	2.497	3.321	0.615	2.706	99999.000	1.022	1.176	35.0	
1.0	17.0	2.508	3.872	1.166	2.706	99999.000	1.408	1.176	35.0	
1.0	18.0	2.519	4.443	1.737	2.706	99999.000	1.719	1.176	35.0	
1.0	19.0	2.545	5.756	3.050	2.706	99999.000	2.277	1.176	35.0	
1.0	20.0	2.574	7.250	4.544	2.706	99999.000	2.779	1.176	35.0	
1.0	21.0	2.627	9.946	7.240	2.706	99999.000	3.508	1.176	35.0	
1.0	22.0	2.691	13.244	10.538	2.706	99999.000	4.233	1.176	35.0	
1.0	23.0	2.766	17.113	14.407	2.706	99999.000	4.949	1.176	35.0	
1.0	24.0	2.855	21.663	18.958	2.706	99999.000	5.677	1.176	35.0	
1.0	25.0	2.945	26.254	23.548	2.706	99999.000	6.327	1.176	35.0	
1.0	26.0	3.021	30.183	27.478	2.706	99999.000	6.835	1.176	35.0	
1.0	27.0	3.059	32.108	29.402	2.706	99999.000	7.070	1.176	35.0	
1.0	28.0	3.065	32.418	29.713	2.706	99999.000	7.107	1.176	35.0	
1.0	29.0	3.053	31.797	29.091	2.706	99999.000	7.032	1.176	35.0	
1.0	30.0	3.032	30.755	28.049	2.706	99999.000	6.905	1.176	35.0	
1.0	31.0	3.015	29.873	27.167	2.706	99999.000	6.796	1.176	35.0	
1.0	32.0	3.001	29.121	26.415	2.706	99999.000	6.701	1.176	35.0	
1.0	33.0	2.988	28.499	25.794	2.706	99999.000	6.622	1.176	35.0	
1.0	34.0	2.959	26.976	24.270	2.706	99999.000	6.423	1.176	35.0	
1.0	35.0	2.920	24.981	22.275	2.706	99999.000	6.154	1.176	35.0	
1.0	36.0	2.867	22.265	19.559	2.706	99999.000	5.766	1.176	35.0	
1.0	37.0	2.798	18.737	16.031	2.706	99999.000	5.220	1.176	35.0	
1.0	38.0	2.725	14.978	12.272	2.706	99999.000	4.568	1.176	35.0	
1.0	39.0	2.671	12.221	9.516	2.706	99999.000	4.022	1.176	35.0	
1.0	40.0	2.623	9.746	7.040	2.706	99999.000	3.459	1.176	35.0	
1.0	41.0	2.581	7.590	4.885	2.706	99999.000	2.882	1.176	35.0	
1.0	42.0	2.547	5.876	3.171	2.706	99999.000	2.322	1.176	35.0	
1.0	43.0	2.529	4.924	2.219	2.706	99999.000	1.942	1.176	35.0	
1.0	44.0	2.510	3.982	1.276	2.706	99999.000	1.473	1.176	35.0	
1.0	45.0	2.504	3.651	0.946	2.706	99999.000	1.268	1.176	35.0	
1.0	46.0	2.503	3.591	0.885	2.706	99999.000	1.227	1.176	35.0	
1.0	47.0	2.502	3.541	0.835	2.706	99999.000	1.192	1.176	35.0	
1.0	48.0	2.496	3.270	0.565	2.706	99999.000	0.980	1.176	35.0	
1.0	49.0	2.498	3.371	0.665	2.706	99999.000	1.063	1.176	35.0	
1.0	50.0	2.498	3.341	0.635	2.706	99999.000	1.039	1.176	35.0	
1.0	51.0	2.503	3.591	0.885	2.706	99999.000	1.227	1.176	35.0	
1.0	52.0	2.499	3.421	0.715	2.706	99999.000	1.102	1.176	35.0	
