x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.488	2.849	0.100	2.749	99999.000	0.413	1.176	40.0	
1.0	1.0	2.491	3.020	0.271	2.749	99999.000	0.678	1.176	40.0	
1.0	2.0	2.494	3.160	0.411	2.749	99999.000	0.836	1.176	40.0	
1.0	3.0	2.495	3.180	0.431	2.749	99999.000	0.856	1.176	40.0	
1.0	4.0	2.495	3.210	0.461	2.749	99999.000	0.885	1.176	40.0	
1.0	5.0	2.495	3.190	0.441	2.749	99999.000	0.866	1.176	40.0	
1.0	6.0	2.497	3.280	0.531	2.749	99999.000	0.950	1.176	40.0	
1.0	7.0	2.496	3.240	0.491	2.749	99999.000	0.914	1.176	40.0	
1.0	8.0	2.496	3.260	0.511	2.749	99999.000	0.932	1.176	40.0	
1.0	9.0	2.498	3.341	0.591	2.749	99999.000	1.003	1.176	40.0	
1.0	10.0	2.497	3.280	0.531	2.749	99999.000	0.950	1.176	40.0	
1.0	11.0	2.497	3.321	0.571	2.749	99999.000	0.986	1.176	40.0	
1.0	12.0	2.497	3.310	0.561	2.749	99999.000	0.977	1.176	40.0	
1.0	13.0	2.498	3.371	0.621	2.749	99999.000	1.028	1.176	40.0	
1.0	14.0	2.499	3.401	0.652	2.749	99999.000	1.052	1.176	40.0	
1.0	15.0	2.505	3.701	0.952	2.749	99999.000	1.272	1.176	40.0	
1.0	16.0	2.515	4.223	1.473	2.749	99999.000	1.583	1.176	40.0	
1.0	17.0	2.546	5.826	3.077	2.749	99999.000	2.287	1.176	40.0	
1.0	18.0	2.584	7.761	5.012	2.749	99999.000	2.919	1.176	40.0	
1.0	19.0	2.635	10.397	7.648	2.749	99999.000	3.606	1.176	40.0	
1.0	20.0	2.711	14.266	11.517	2.749	99999.000	4.425	1.176	40.0	
1.0	21.0	2.808	19.228	16.478	2.749	99999.000	5.293	1.176	40.0	
1.0	22.0	2.935	25.743	22.994	2.749	99999.000	6.252	1.176	40.0	
1.0	23.0	3.062	32.248	29.499	2.749	99999.000	7.082	1.176	40.0	
1.0	24.0	3.175	38.042	35.292	2.749	99999.000	7.746	1.176	40.0	
1.0	25.0	3.243	41.560	38.811	2.749	99999.000	8.123	1.176	40.0	
1.0	26.0	3.274	43.123	40.374	2.749	99999.000	8.285	1.176	40.0	
1.0	27.0	3.265	42.682	39.933	2.749	99999.000	8.239	1.176	40.0	
1.0	28.0	3.240	41.379	38.630	2.749	99999.000	8.104	1.176	40.0	
1.0	29.0	3.212	39.936	37.187	2.749	99999.000	7.951	1.176	40.0	
1.0	30.0	3.193	38.994	36.245	2.749	99999.000	7.850	1.176	40.0	
1.0	31.0	3.169	37.761	35.012	2.749	99999.000	7.715	1.176	40.0	
1.0	32.0	3.150	36.799	34.050	2.749	99999.000	7.608	1.176	40.0	
1.0	33.0	3.111	34.784	32.035	2.749	99999.000	7.380	1.176	40.0	
1.0	34.0	3.044	31.356	28.607	2.749	99999.000	6.974	1.176	40.0	
1.0	35.0	2.961	27.076	24.327	2.749	99999.000	6.431	1.176	40.0	
1.0	36.0	2.872	22.525	19.776	2.749	99999.000	5.798	1.176	40.0	
1.0	37.0	2.779	17.754	15.005	2.749	99999.000	5.051	1.176	40.0	
1.0	38.0	2.704	13.905	11.156	2.749	99999.000	4.355	1.176	40.0	
1.0	39.0	2.640	10.638	7.888	2.749	99999.000	3.662	1.176	40.0	
1.0	40.0	2.585	7.791	5.042	2.749	99999.000	2.928	1.176	40.0	
1.0	41.0	2.550	6.037	3.288	2.749	99999.000	2.364	1.176	40.0	
1.0	42.0	2.524	4.674	1.924	2.749	99999.000	1.809	1.176	40.0	
1.0	43.0	2.511	4.002	1.253	2.749	99999.000	1.459	1.176	40.0	
1.0	44.0	2.508	3.862	1.113	2.749	99999.000	1.375	1.176	40.0	
1.0	45.0	2.504	3.641	0.892	2.749	99999.000	1.231	1.176	40.0	
1.0	46.0	2.507	3.812	1.062	2.749	99999.000	1.344	1.176	40.0	
1.0	47.0	2.505	3.711	0.962	2.749	99999.000	1.279	1.176	40.0	
1.0	48.0	2.503	3.621	0.872	2.749	99999.000	1.218	1.176	40.0	
1.0	49.0	2.504	3.651	0.902	2.749	99999.000	1.238	1.176	40.0	
1.0	50.0	2.504	3.671	0.922	2.749	99999.000	1.252	1.176	40.0	
1.0	51.0	2.504	3.681	0.932	2.749	99999.000	1.259	1.176	40.0	
1.0	52.0	2.504	3.641	0.892	2.749	99999.000	1.231	1.176	40.0	
