x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.489	2.879	0.130	2.749	99999.000	0.471	1.176	40.0	
1.0	1.0	2.496	3.260	0.511	2.749	99999.000	0.932	1.176	40.0	
1.0	2.0	2.497	3.290	0.541	2.749	99999.000	0.959	1.176	40.0	
1.0	3.0	2.494	3.130	0.381	2.749	99999.000	0.805	1.176	40.0	
1.0	4.0	2.493	3.090	0.341	2.749	99999.000	0.761	1.176	40.0	
1.0	5.0	2.495	3.190	0.441	2.749	99999.000	0.866	1.176	40.0	
1.0	6.0	2.495	3.180	0.431	2.749	99999.000	0.856	1.176	40.0	
1.0	7.0	2.494	3.150	0.401	2.749	99999.000	0.826	1.176	40.0	
1.0	8.0	2.496	3.250	0.501	2.749	99999.000	0.923	1.176	40.0	
1.0	9.0	2.501	3.491	0.742	2.749	99999.000	1.123	1.176	40.0	
1.0	10.0	2.499	3.391	0.641	2.749	99999.000	1.044	1.176	40.0	
1.0	11.0	2.501	3.491	0.742	2.749	99999.000	1.123	1.176	40.0	
1.0	12.0	2.498	3.331	0.581	2.749	99999.000	0.994	1.176	40.0	
1.0	13.0	2.499	3.411	0.662	2.749	99999.000	1.060	1.176	40.0	
1.0	14.0	2.500	3.471	0.722	2.749	99999.000	1.108	1.176	40.0	
1.0	15.0	2.505	3.701	0.952	2.749	99999.000	1.272	1.176	40.0	
1.0	16.0	2.521	4.553	1.804	2.749	99999.000	1.751	1.176	40.0	
1.0	17.0	2.544	5.716	2.967	2.749	99999.000	2.246	1.176	40.0	
1.0	18.0	2.584	7.781	5.032	2.749	99999.000	2.925	1.176	40.0	
1.0	19.0	2.639	10.577	7.828	2.749	99999.000	3.648	1.176	40.0	
1.0	20.0	2.717	14.587	11.838	2.749	99999.000	4.486	1.176	40.0	
1.0	21.0	2.808	19.248	16.499	2.749	99999.000	5.296	1.176	40.0	
1.0	22.0	2.939	25.973	23.224	2.749	99999.000	6.283	1.176	40.0	
1.0	23.0	3.057	32.018	29.268	2.749	99999.000	7.054	1.176	40.0	
1.0	24.0	3.173	37.941	35.192	2.749	99999.000	7.735	1.176	40.0	
1.0	25.0	3.251	41.951	39.202	2.749	99999.000	8.163	1.176	40.0	
1.0	26.0	3.273	43.073	40.324	2.749	99999.000	8.280	1.176	40.0	
1.0	27.0	3.258	42.342	39.592	2.749	99999.000	8.204	1.176	40.0	
1.0	28.0	3.242	41.500	38.750	2.749	99999.000	8.116	1.176	40.0	
1.0	29.0	3.210	39.836	37.087	2.749	99999.000	7.940	1.176	40.0	
1.0	30.0	3.188	38.743	35.994	2.749	99999.000	7.822	1.176	40.0	
1.0	31.0	3.163	37.450	34.701	2.749	99999.000	7.681	1.176	40.0	
1.0	32.0	3.147	36.608	33.859	2.749	99999.000	7.587	1.176	40.0	
1.0	33.0	3.103	34.373	31.624	2.749	99999.000	7.332	1.176	40.0	
1.0	34.0	3.043	31.276	28.527	2.749	99999.000	6.964	1.176	40.0	
1.0	35.0	2.960	27.036	24.287	2.749	99999.000	6.426	1.176	40.0	
1.0	36.0	2.871	22.455	19.706	2.749	99999.000	5.788	1.176	40.0	
1.0	37.0	2.779	17.774	15.025	2.749	99999.000	5.054	1.176	40.0	
1.0	38.0	2.708	14.136	11.387	2.749	99999.000	4.400	1.176	40.0	
1.0	39.0	2.644	10.828	8.079	2.749	99999.000	3.706	1.176	40.0	
1.0	40.0	2.591	8.102	5.353	2.749	99999.000	3.016	1.176	40.0	
1.0	41.0	2.552	6.117	3.368	2.749	99999.000	2.393	1.176	40.0	
1.0	42.0	2.526	4.784	2.035	2.749	99999.000	1.860	1.176	40.0	
1.0	43.0	2.515	4.213	1.463	2.749	99999.000	1.577	1.176	40.0	
1.0	44.0	2.511	4.012	1.263	2.749	99999.000	1.465	1.176	40.0	
1.0	45.0	2.508	3.872	1.123	2.749	99999.000	1.381	1.176	40.0	
1.0	46.0	2.509	3.922	1.173	2.749	99999.000	1.412	1.176	40.0	
1.0	47.0	2.510	3.972	1.223	2.749	99999.000	1.442	1.176	40.0	
1.0	48.0	2.510	3.962	1.213	2.749	99999.000	1.436	1.176	40.0	
1.0	49.0	2.509	3.892	1.143	2.749	99999.000	1.394	1.176	40.0	
1.0	50.0	2.508	3.862	1.113	2.749	99999.000	1.375	1.176	40.0	
1.0	51.0	2.507	3.812	1.062	2.749	99999.000	1.344	1.176	40.0	
1.0	52.0	2.509	3.902	1.153	2.749	99999.000	1.400	1.176	40.0	
