x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
1.0	0.0	2.488	2.819	0.095	2.724	99999.000	0.402	1.176	40.0	
1.0	1.0	2.491	3.020	0.296	2.724	99999.000	0.709	1.176	40.0	
1.0	2.0	2.492	3.050	0.326	2.724	99999.000	0.744	1.176	40.0	
1.0	3.0	2.493	3.110	0.386	2.724	99999.000	0.810	1.176	40.0	
1.0	4.0	2.494	3.160	0.436	2.724	99999.000	0.861	1.176	40.0	
1.0	5.0	2.494	3.170	0.446	2.724	99999.000	0.871	1.176	40.0	
1.0	6.0	2.497	3.310	0.586	2.724	99999.000	0.998	1.176	40.0	
1.0	7.0	2.495	3.190	0.466	2.724	99999.000	0.890	1.176	40.0	
1.0	8.0	2.495	3.210	0.486	2.724	99999.000	0.909	1.176	40.0	
1.0	9.0	2.499	3.391	0.667	2.724	99999.000	1.064	1.176	40.0	
1.0	10.0	2.497	3.310	0.586	2.724	99999.000	0.998	1.176	40.0	
1.0	11.0	2.497	3.321	0.596	2.724	99999.000	1.007	1.176	40.0	
1.0	12.0	2.497	3.310	0.586	2.724	99999.000	0.998	1.176	40.0	
1.0	13.0	2.500	3.431	0.707	2.724	99999.000	1.096	1.176	40.0	
1.0	14.0	2.500	3.431	0.707	2.724	99999.000	1.096	1.176	40.0	
1.0	15.0	2.505	3.731	1.007	2.724	99999.000	1.309	1.176	40.0	
1.0	16.0	2.518	4.403	1.679	2.724	99999.000	1.689	1.176	40.0	
1.0	17.0	2.543	5.656	2.932	2.724	99999.000	2.233	1.176	40.0	
1.0	18.0	2.583	7.711	4.987	2.724	99999.000	2.912	1.176	40.0	
1.0	19.0	2.640	10.628	7.903	2.724	99999.000	3.665	1.176	40.0	
1.0	20.0	2.716	14.507	11.783	2.724	99999.000	4.476	1.176	40.0	
1.0	21.0	2.808	19.268	16.544	2.724	99999.000	5.303	1.176	40.0	
1.0	22.0	2.929	25.432	22.708	2.724	99999.000	6.213	1.176	40.0	
1.0	23.0	3.061	32.228	29.504	2.724	99999.000	7.082	1.176	40.0	
1.0	24.0	3.175	38.082	35.358	2.724	99999.000	7.753	1.176	40.0	
1.0	25.0	3.256	42.231	39.507	2.724	99999.000	8.195	1.176	40.0	
1.0	26.0	3.277	43.304	40.580	2.724	99999.000	8.306	1.176	40.0	
1.0	27.0	3.266	42.713	39.988	2.724	99999.000	8.245	1.176	40.0	
1.0	28.0	3.239	41.359	38.635	2.724	99999.000	8.104	1.176	40.0	
1.0	29.0	3.217	40.227	37.503	2.724	99999.000	7.985	1.176	40.0	
1.0	30.0	3.190	38.823	36.099	2.724	99999.000	7.834	1.176	40.0	
1.0	31.0	3.171	37.861	35.137	2.724	99999.000	7.729	1.176	40.0	
1.0	32.0	3.150	36.779	34.055	2.724	99999.000	7.609	1.176	40.0	
1.0	33.0	3.110	34.714	31.990	2.724	99999.000	7.374	1.176	40.0	
1.0	34.0	3.054	31.877	29.153	2.724	99999.000	7.040	1.176	40.0	
1.0	35.0	2.959	27.006	24.282	2.724	99999.000	6.425	1.176	40.0	
1.0	36.0	2.865	22.175	19.450	2.724	99999.000	5.750	1.176	40.0	
1.0	37.0	2.768	17.213	14.489	2.724	99999.000	4.963	1.176	40.0	
1.0	38.0	2.708	14.096	11.372	2.724	99999.000	4.397	1.176	40.0	
1.0	39.0	2.639	10.598	7.873	2.724	99999.000	3.659	1.176	40.0	
1.0	40.0	2.591	8.122	5.398	2.724	99999.000	3.029	1.176	40.0	
1.0	41.0	2.558	6.408	3.684	2.724	99999.000	2.502	1.176	40.0	
1.0	42.0	2.527	4.864	2.140	2.724	99999.000	1.907	1.176	40.0	
1.0	43.0	2.514	4.173	1.448	2.724	99999.000	1.569	1.176	40.0	
1.0	44.0	2.506	3.772	1.047	2.724	99999.000	1.334	1.176	40.0	
1.0	45.0	2.505	3.731	1.007	2.724	99999.000	1.309	1.176	40.0	
1.0	46.0	2.504	3.671	0.947	2.724	99999.000	1.269	1.176	40.0	
1.0	47.0	2.504	3.651	0.927	2.724	99999.000	1.255	1.176	40.0	
1.0	48.0	2.504	3.681	0.957	2.724	99999.000	1.276	1.176	40.0	
1.0	49.0	2.505	3.721	0.997	2.724	99999.000	1.302	1.176	40.0	
1.0	50.0	2.503	3.591	0.867	2.724	99999.000	1.214	1.176	40.0	
1.0	51.0	2.503	3.621	0.897	2.724	99999.000	1.235	1.176	40.0	
1.0	52.0	2.507	3.812	1.088	2.724	99999.000	1.360	1.176	40.0	
