x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.452	1.005	-1.649	2.654	99999.000	-1.674	1.176	50.0	
3.0	1.0	2.454	1.075	-1.579	2.654	99999.000	-1.638	1.176	50.0	
3.0	2.0	2.451	0.925	-1.729	2.654	99999.000	-1.714	1.176	50.0	
3.0	3.0	2.452	0.985	-1.669	2.654	99999.000	-1.684	1.176	50.0	
3.0	4.0	2.454	1.095	-1.559	2.654	99999.000	-1.628	1.176	50.0	
3.0	5.0	2.454	1.105	-1.549	2.654	99999.000	-1.623	1.176	50.0	
3.0	6.0	2.452	1.015	-1.639	2.654	99999.000	-1.669	1.176	50.0	
3.0	7.0	2.453	1.055	-1.599	2.654	99999.000	-1.649	1.176	50.0	
3.0	8.0	2.455	1.145	-1.509	2.654	99999.000	-1.601	1.176	50.0	
3.0	9.0	2.458	1.306	-1.348	2.654	99999.000	-1.514	1.176	50.0	
3.0	10.0	2.457	1.256	-1.398	2.654	99999.000	-1.542	1.176	50.0	
3.0	11.0	2.464	1.627	-1.027	2.654	99999.000	-1.322	1.176	50.0	
3.0	12.0	2.473	2.058	-0.596	2.654	99999.000	-1.007	1.176	50.0	
3.0	13.0	2.473	2.088	-0.566	2.654	99999.000	-0.981	1.176	50.0	
3.0	14.0	2.477	2.268	-0.386	2.654	99999.000	-0.810	1.176	50.0	
3.0	15.0	2.493	3.120	0.466	2.654	99999.000	0.890	1.176	50.0	
3.0	16.0	2.500	3.461	0.807	2.654	99999.000	1.171	1.176	50.0	
3.0	17.0	2.519	4.453	1.799	2.654	99999.000	1.749	1.176	50.0	
3.0	18.0	2.537	5.365	2.711	2.654	99999.000	2.147	1.176	50.0	
3.0	19.0	2.547	5.887	3.233	2.654	99999.000	2.344	1.176	50.0	
3.0	20.0	2.570	7.029	4.375	2.654	99999.000	2.727	1.176	50.0	
3.0	21.0	2.599	8.513	5.859	2.654	99999.000	3.156	1.176	50.0	
3.0	22.0	2.643	10.768	8.114	2.654	99999.000	3.714	1.176	50.0	
3.0	23.0	2.664	11.850	9.196	2.654	99999.000	3.954	1.176	50.0	
3.0	24.0	2.708	14.126	11.472	2.654	99999.000	4.416	1.176	50.0	
3.0	25.0	2.751	16.331	13.677	2.654	99999.000	4.822	1.176	50.0	
3.0	26.0	2.791	18.396	15.742	2.654	99999.000	5.173	1.176	50.0	
3.0	27.0	2.844	21.102	18.448	2.654	99999.000	5.600	1.176	50.0	
3.0	28.0	2.904	24.179	21.525	2.654	99999.000	6.049	1.176	50.0	
3.0	29.0	2.961	27.116	24.462	2.654	99999.000	6.449	1.176	50.0	
3.0	30.0	3.001	29.141	26.487	2.654	99999.000	6.710	1.176	50.0	
3.0	31.0	3.034	30.855	28.201	2.654	99999.000	6.924	1.176	50.0	
3.0	32.0	3.070	32.689	30.035	2.654	99999.000	7.146	1.176	50.0	
3.0	33.0	3.094	33.902	31.248	2.654	99999.000	7.288	1.176	50.0	
3.0	34.0	3.111	34.784	32.130	2.654	99999.000	7.391	1.176	50.0	
3.0	35.0	3.101	34.253	31.599	2.654	99999.000	7.329	1.176	50.0	
3.0	36.0	3.076	32.990	30.336	2.654	99999.000	7.181	1.176	50.0	
3.0	37.0	3.050	31.647	28.993	2.654	99999.000	7.020	1.176	50.0	
3.0	38.0	3.020	30.113	27.459	2.654	99999.000	6.832	1.176	50.0	
3.0	39.0	2.971	27.627	24.973	2.654	99999.000	6.516	1.176	50.0	
3.0	40.0	2.921	25.031	22.377	2.654	99999.000	6.168	1.176	50.0	
3.0	41.0	2.877	22.766	20.112	2.654	99999.000	5.847	1.176	50.0	
3.0	42.0	2.812	19.438	16.784	2.654	99999.000	5.342	1.176	50.0	
3.0	43.0	2.774	17.504	14.850	2.654	99999.000	5.024	1.176	50.0	
3.0	44.0	2.746	16.090	13.436	2.654	99999.000	4.779	1.176	50.0	
3.0	45.0	2.703	13.885	11.231	2.654	99999.000	4.370	1.176	50.0	
3.0	46.0	2.676	12.482	9.828	2.654	99999.000	4.087	1.176	50.0	
3.0	47.0	2.621	9.655	7.001	2.654	99999.000	3.450	1.176	50.0	
3.0	48.0	2.621	9.655	7.001	2.654	99999.000	3.450	1.176	50.0	
3.0	49.0	2.593	8.202	5.548	2.654	99999.000	3.071	1.176	50.0	
3.0	50.0	2.578	7.480	4.826	2.654	99999.000	2.864	1.176	50.0	
3.0	51.0	2.559	6.488	3.834	2.654	99999.000	2.553	1.176	50.0	
3.0	52.0	2.544	5.736	3.082	2.654	99999.000	2.289	1.176	50.0	
