x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.450	0.875	-1.757	2.632	99999.000	-1.728	1.176	50.0	
3.0	1.0	2.455	1.155	-1.477	2.632	99999.000	-1.584	1.176	50.0	
3.0	2.0	2.452	0.975	-1.657	2.632	99999.000	-1.678	1.176	50.0	
3.0	3.0	2.452	0.985	-1.647	2.632	99999.000	-1.673	1.176	50.0	
3.0	4.0	2.455	1.125	-1.507	2.632	99999.000	-1.601	1.176	50.0	
3.0	5.0	2.452	0.995	-1.637	2.632	99999.000	-1.668	1.176	50.0	
3.0	6.0	2.454	1.075	-1.557	2.632	99999.000	-1.627	1.176	50.0	
3.0	7.0	2.456	1.196	-1.437	2.632	99999.000	-1.563	1.176	50.0	
3.0	8.0	2.454	1.085	-1.547	2.632	99999.000	-1.622	1.176	50.0	
3.0	9.0	2.457	1.256	-1.377	2.632	99999.000	-1.530	1.176	50.0	
3.0	10.0	2.460	1.416	-1.216	2.632	99999.000	-1.438	1.176	50.0	
3.0	11.0	2.462	1.516	-1.116	2.632	99999.000	-1.377	1.176	50.0	
3.0	12.0	2.466	1.717	-0.915	2.632	99999.000	-1.248	1.176	50.0	
3.0	13.0	2.474	2.138	-0.494	2.632	99999.000	-0.917	1.176	50.0	
3.0	14.0	2.481	2.499	-0.134	2.632	99999.000	-0.477	1.176	50.0	
3.0	15.0	2.494	3.130	0.498	2.632	99999.000	0.920	1.176	50.0	
3.0	16.0	2.513	4.122	1.490	2.632	99999.000	1.592	1.176	50.0	
3.0	17.0	2.522	4.593	1.961	2.632	99999.000	1.826	1.176	50.0	
3.0	18.0	2.544	5.726	3.094	2.632	99999.000	2.293	1.176	50.0	
3.0	19.0	2.579	7.490	4.858	2.632	99999.000	2.874	1.176	50.0	
3.0	20.0	2.604	8.803	6.171	2.632	99999.000	3.239	1.176	50.0	
3.0	21.0	2.598	8.493	5.860	2.632	99999.000	3.156	1.176	50.0	
3.0	22.0	2.632	10.237	7.604	2.632	99999.000	3.595	1.176	50.0	
3.0	23.0	2.684	12.903	10.271	2.632	99999.000	4.179	1.176	50.0	
3.0	24.0	2.716	14.517	11.884	2.632	99999.000	4.495	1.176	50.0	
3.0	25.0	2.775	17.534	14.901	2.632	99999.000	5.033	1.176	50.0	
3.0	26.0	2.823	20.009	17.377	2.632	99999.000	5.435	1.176	50.0	
3.0	27.0	2.878	22.816	20.184	2.632	99999.000	5.858	1.176	50.0	
3.0	28.0	2.906	24.269	21.637	2.632	99999.000	6.065	1.176	50.0	
3.0	29.0	2.969	27.507	24.875	2.632	99999.000	6.503	1.176	50.0	
3.0	30.0	2.996	28.900	26.268	2.632	99999.000	6.682	1.176	50.0	
3.0	31.0	3.057	31.997	29.365	2.632	99999.000	7.065	1.176	50.0	
3.0	32.0	3.081	33.250	30.618	2.632	99999.000	7.215	1.176	50.0	
3.0	33.0	3.094	33.932	31.300	2.632	99999.000	7.294	1.176	50.0	
3.0	34.0	3.081	33.250	30.618	2.632	99999.000	7.215	1.176	50.0	
3.0	35.0	3.106	34.543	31.911	2.632	99999.000	7.365	1.176	50.0	
3.0	36.0	3.085	33.461	30.829	2.632	99999.000	7.239	1.176	50.0	
3.0	37.0	3.040	31.135	28.503	2.632	99999.000	6.961	1.176	50.0	
3.0	38.0	3.006	29.421	26.789	2.632	99999.000	6.748	1.176	50.0	
3.0	39.0	2.965	27.307	24.674	2.632	99999.000	6.477	1.176	50.0	
3.0	40.0	2.915	24.720	22.088	2.632	99999.000	6.128	1.176	50.0	
3.0	41.0	2.876	22.716	20.084	2.632	99999.000	5.843	1.176	50.0	
3.0	42.0	2.819	19.819	17.187	2.632	99999.000	5.405	1.176	50.0	
3.0	43.0	2.780	17.834	15.202	2.632	99999.000	5.084	1.176	50.0	
3.0	44.0	2.749	16.201	13.568	2.632	99999.000	4.803	1.176	50.0	
3.0	45.0	2.700	13.715	11.083	2.632	99999.000	4.341	1.176	50.0	
3.0	46.0	2.679	12.622	9.990	2.632	99999.000	4.121	1.176	50.0	
3.0	47.0	2.639	10.598	7.965	2.632	99999.000	3.680	1.176	50.0	
3.0	48.0	2.617	9.435	6.803	2.632	99999.000	3.401	1.176	50.0	
3.0	49.0	2.592	8.192	5.560	2.632	99999.000	3.074	1.176	50.0	
3.0	50.0	2.569	7.009	4.377	2.632	99999.000	2.728	1.176	50.0	
3.0	51.0	2.557	6.378	3.745	2.632	99999.000	2.523	1.176	50.0	
3.0	52.0	2.541	5.576	2.944	2.632	99999.000	2.237	1.176	50.0	
