x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.453	1.025	-1.649	2.674	3.205	-1.674	1.176	50.0	
3.0	1.0	2.451	0.955	-1.719	2.674	3.205	-1.709	1.176	50.0	
3.0	2.0	2.452	1.005	-1.669	2.674	3.205	-1.684	1.176	50.0	
3.0	3.0	2.454	1.115	-1.559	2.674	3.205	-1.628	1.176	50.0	
3.0	4.0	2.457	1.276	-1.398	2.674	3.205	-1.542	1.176	50.0	
3.0	5.0	2.456	1.216	-1.458	2.674	3.205	-1.575	1.176	50.0	
3.0	6.0	2.453	1.045	-1.629	2.674	3.205	-1.664	1.176	50.0	
3.0	7.0	2.458	1.286	-1.388	2.674	3.205	-1.536	1.176	50.0	
3.0	8.0	2.460	1.386	-1.288	2.674	3.205	-1.480	1.176	50.0	
3.0	9.0	2.458	1.306	-1.368	2.674	3.205	-1.525	1.176	50.0	
3.0	10.0	2.463	1.576	-1.098	2.674	3.205	-1.366	1.176	50.0	
3.0	11.0	2.467	1.777	-0.897	2.674	3.205	-1.235	1.176	50.0	
3.0	12.0	2.464	1.617	-1.057	2.674	3.205	-1.341	1.176	50.0	
3.0	13.0	2.472	2.017	-0.657	2.674	3.205	-1.056	1.176	50.0	
3.0	14.0	2.486	2.739	0.065	2.674	3.205	0.333	1.176	50.0	
3.0	15.0	2.500	3.471	0.797	2.674	3.205	1.164	1.176	50.0	
3.0	16.0	2.507	3.792	1.118	2.674	3.205	1.378	1.176	50.0	
3.0	17.0	2.530	4.974	2.300	2.674	3.205	1.978	1.176	50.0	
3.0	18.0	2.557	6.388	3.714	2.674	3.205	2.513	1.176	50.0	
3.0	19.0	2.570	7.069	4.395	2.674	3.205	2.733	1.176	50.0	
3.0	20.0	2.591	8.122	5.448	2.674	3.205	3.043	1.176	50.0	
3.0	21.0	2.594	8.282	5.608	2.674	3.205	3.088	1.176	50.0	
3.0	22.0	2.645	10.898	8.224	2.674	3.205	3.739	1.176	50.0	
3.0	23.0	2.688	13.083	10.409	2.674	3.205	4.207	1.176	50.0	
3.0	24.0	2.715	14.497	11.823	2.674	3.205	4.483	1.176	50.0	
3.0	25.0	2.758	16.672	13.998	2.674	3.205	4.878	1.176	50.0	
3.0	26.0	2.823	20.040	17.366	2.674	3.205	5.433	1.176	50.0	
3.0	27.0	2.882	23.037	20.363	2.674	3.205	5.884	1.176	50.0	
3.0	28.0	2.919	24.931	22.257	2.674	3.205	6.151	1.176	50.0	
3.0	29.0	2.960	27.016	24.342	2.674	3.205	6.433	1.176	50.0	
3.0	30.0	2.999	29.061	26.387	2.674	3.205	6.698	1.176	50.0	
3.0	31.0	3.038	31.015	28.341	2.674	3.205	6.941	1.176	50.0	
3.0	32.0	3.082	33.301	30.627	2.674	3.205	7.216	1.176	50.0	
3.0	33.0	3.109	34.694	32.020	2.674	3.205	7.378	1.176	50.0	
3.0	34.0	3.103	34.383	31.709	2.674	3.205	7.342	1.176	50.0	
3.0	35.0	3.092	33.792	31.118	2.674	3.205	7.273	1.176	50.0	
3.0	36.0	3.066	32.469	29.795	2.674	3.205	7.117	1.176	50.0	
3.0	37.0	3.047	31.476	28.802	2.674	3.205	6.997	1.176	50.0	
3.0	38.0	3.022	30.223	27.549	2.674	3.205	6.844	1.176	50.0	
3.0	39.0	2.978	27.938	25.264	2.674	3.205	6.554	1.176	50.0	
3.0	40.0	2.939	25.973	23.299	2.674	3.205	6.294	1.176	50.0	
3.0	41.0	2.887	23.277	20.603	2.674	3.205	5.918	1.176	50.0	
3.0	42.0	2.836	20.661	17.987	2.674	3.205	5.530	1.176	50.0	
3.0	43.0	2.797	18.696	16.022	2.674	3.205	5.219	1.176	50.0	
3.0	44.0	2.753	16.431	13.757	2.674	3.205	4.836	1.176	50.0	
3.0	45.0	2.719	14.687	12.013	2.674	3.205	4.519	1.176	50.0	
3.0	46.0	2.700	13.695	11.021	2.674	3.205	4.328	1.176	50.0	
3.0	47.0	2.644	10.838	8.164	2.674	3.205	3.725	1.176	50.0	
3.0	48.0	2.616	9.385	6.711	2.674	3.205	3.378	1.176	50.0	
3.0	49.0	2.614	9.325	6.651	2.674	3.205	3.362	1.176	50.0	
3.0	50.0	2.598	8.473	5.799	2.674	3.205	3.140	1.176	50.0	
3.0	51.0	2.570	7.049	4.375	2.674	3.205	2.727	1.176	50.0	
3.0	52.0	2.562	6.628	3.954	2.674	3.205	2.593	1.176	50.0	
