x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
3.0	0.0	2.450	0.905	-1.749	2.654	99999.000	-1.724	1.176	50.0	
3.0	1.0	2.452	0.985	-1.669	2.654	99999.000	-1.684	1.176	50.0	
3.0	2.0	2.454	1.075	-1.579	2.654	99999.000	-1.638	1.176	50.0	
3.0	3.0	2.453	1.025	-1.629	2.654	99999.000	-1.664	1.176	50.0	
3.0	4.0	2.453	1.045	-1.609	2.654	99999.000	-1.654	1.176	50.0	
3.0	5.0	2.451	0.965	-1.689	2.654	99999.000	-1.694	1.176	50.0	
3.0	6.0	2.456	1.206	-1.448	2.654	99999.000	-1.569	1.176	50.0	
3.0	7.0	2.457	1.226	-1.428	2.654	99999.000	-1.558	1.176	50.0	
3.0	8.0	2.451	0.955	-1.699	2.654	99999.000	-1.699	1.176	50.0	
3.0	9.0	2.457	1.266	-1.388	2.654	99999.000	-1.536	1.176	50.0	
3.0	10.0	2.462	1.496	-1.158	2.654	99999.000	-1.403	1.176	50.0	
3.0	11.0	2.461	1.436	-1.218	2.654	99999.000	-1.439	1.176	50.0	
3.0	12.0	2.463	1.536	-1.118	2.654	99999.000	-1.378	1.176	50.0	
3.0	13.0	2.468	1.837	-0.817	2.654	99999.000	-1.178	1.176	50.0	
3.0	14.0	2.474	2.098	-0.556	2.654	99999.000	-0.972	1.176	50.0	
3.0	15.0	2.479	2.388	-0.266	2.654	99999.000	-0.672	1.176	50.0	
3.0	16.0	2.485	2.669	0.015	2.654	99999.000	0.160	1.176	50.0	
3.0	17.0	2.508	3.862	1.208	2.654	99999.000	1.433	1.176	50.0	
3.0	18.0	2.509	3.922	1.268	2.654	99999.000	1.468	1.176	50.0	
3.0	19.0	2.537	5.355	2.701	2.654	99999.000	2.143	1.176	50.0	
3.0	20.0	2.555	6.267	3.613	2.654	99999.000	2.478	1.176	50.0	
3.0	21.0	2.574	7.240	4.586	2.654	99999.000	2.792	1.176	50.0	
3.0	22.0	2.611	9.134	6.480	2.654	99999.000	3.319	1.176	50.0	
3.0	23.0	2.653	11.319	8.665	2.654	99999.000	3.838	1.176	50.0	
3.0	24.0	2.668	12.091	9.437	2.654	99999.000	4.005	1.176	50.0	
3.0	25.0	2.721	14.807	12.153	2.654	99999.000	4.545	1.176	50.0	
3.0	26.0	2.755	16.521	13.867	2.654	99999.000	4.855	1.176	50.0	
3.0	27.0	2.806	19.147	16.494	2.654	99999.000	5.295	1.176	50.0	
3.0	28.0	2.867	22.295	19.641	2.654	99999.000	5.778	1.176	50.0	
3.0	29.0	2.907	24.320	21.666	2.654	99999.000	6.069	1.176	50.0	
3.0	30.0	2.961	27.106	24.452	2.654	99999.000	6.447	1.176	50.0	
3.0	31.0	3.006	29.421	26.768	2.654	99999.000	6.746	1.176	50.0	
3.0	32.0	3.047	31.476	28.822	2.654	99999.000	7.000	1.176	50.0	
3.0	33.0	3.075	32.940	30.286	2.654	99999.000	7.175	1.176	50.0	
3.0	34.0	3.084	33.401	30.747	2.654	99999.000	7.230	1.176	50.0	
3.0	35.0	3.091	33.752	31.098	2.654	99999.000	7.271	1.176	50.0	
3.0	36.0	3.088	33.621	30.967	2.654	99999.000	7.256	1.176	50.0	
3.0	37.0	3.067	32.509	29.855	2.654	99999.000	7.124	1.176	50.0	
3.0	38.0	3.023	30.273	27.620	2.654	99999.000	6.852	1.176	50.0	
3.0	39.0	2.992	28.670	26.016	2.654	99999.000	6.650	1.176	50.0	
3.0	40.0	2.948	26.414	23.760	2.654	99999.000	6.356	1.176	50.0	
3.0	41.0	2.908	24.350	21.696	2.654	99999.000	6.073	1.176	50.0	
3.0	42.0	2.852	21.513	18.859	2.654	99999.000	5.662	1.176	50.0	
3.0	43.0	2.809	19.298	16.644	2.654	99999.000	5.319	1.176	50.0	
3.0	44.0	2.765	17.033	14.379	2.654	99999.000	4.944	1.176	50.0	
3.0	45.0	2.725	14.998	12.344	2.654	99999.000	4.581	1.176	50.0	
3.0	46.0	2.693	13.364	10.710	2.654	99999.000	4.267	1.176	50.0	
3.0	47.0	2.659	11.620	8.966	2.654	99999.000	3.904	1.176	50.0	
3.0	48.0	2.628	10.016	7.362	2.654	99999.000	3.538	1.176	50.0	
3.0	49.0	2.607	8.964	6.310	2.654	99999.000	3.275	1.176	50.0	
3.0	50.0	2.587	7.911	5.257	2.654	99999.000	2.990	1.176	50.0	
3.0	51.0	2.568	6.919	4.265	2.654	99999.000	2.693	1.176	50.0	
3.0	52.0	2.553	6.157	3.503	2.654	99999.000	2.440	1.176	50.0	
