x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.267	1.188	0.201	0.988	99999.000	0.584	1.178	35.0	
6.0	1.0	2.298	1.356	0.368	0.988	99999.000	0.791	1.178	35.0	
6.0	2.0	2.329	1.530	0.543	0.988	99999.000	0.960	1.178	35.0	
6.0	3.0	2.348	1.632	0.644	0.988	99999.000	1.046	1.178	35.0	
6.0	4.0	2.352	1.659	0.671	0.988	99999.000	1.068	1.178	35.0	
6.0	5.0	2.365	1.730	0.743	0.988	99999.000	1.123	1.178	35.0	
6.0	6.0	2.383	1.828	0.840	0.988	99999.000	1.194	1.178	35.0	
6.0	7.0	2.389	1.862	0.875	0.988	99999.000	1.219	1.178	35.0	
6.0	8.0	2.369	1.751	0.763	0.988	99999.000	1.138	1.178	35.0	
6.0	9.0	2.395	1.893	0.905	0.988	99999.000	1.240	1.178	35.0	
6.0	10.0	2.426	2.065	1.077	0.988	99999.000	1.352	1.178	35.0	
6.0	11.0	2.437	2.129	1.141	0.988	99999.000	1.392	1.178	35.0	
6.0	12.0	2.449	2.194	1.206	0.988	99999.000	1.431	1.178	35.0	
6.0	13.0	2.449	2.193	1.205	0.988	99999.000	1.430	1.178	35.0	
6.0	14.0	2.454	2.220	1.232	0.988	99999.000	1.446	1.178	35.0	
6.0	15.0	2.483	2.379	1.391	0.988	99999.000	1.537	1.178	35.0	
6.0	16.0	2.516	2.566	1.578	0.988	99999.000	1.637	1.178	35.0	
6.0	17.0	2.539	2.692	1.705	0.988	99999.000	1.701	1.178	35.0	
6.0	18.0	2.532	2.650	1.663	0.988	99999.000	1.680	1.178	35.0	
6.0	19.0	2.574	2.885	1.898	0.988	99999.000	1.795	1.178	35.0	
6.0	20.0	2.593	2.988	2.000	0.988	99999.000	1.843	1.178	35.0	
6.0	21.0	2.616	3.119	2.131	0.988	99999.000	1.902	1.178	35.0	
6.0	22.0	2.648	3.294	2.307	0.988	99999.000	1.979	1.178	35.0	
6.0	23.0	2.659	3.357	2.369	0.988	99999.000	2.005	1.178	35.0	
6.0	24.0	2.696	3.559	2.572	0.988	99999.000	2.089	1.178	35.0	
6.0	25.0	2.685	3.501	2.513	0.988	99999.000	2.065	1.178	35.0	
6.0	26.0	2.709	3.630	2.642	0.988	99999.000	2.118	1.178	35.0	
6.0	27.0	2.735	3.774	2.786	0.988	99999.000	2.175	1.178	35.0	
6.0	28.0	2.756	3.893	2.905	0.988	99999.000	2.221	1.178	35.0	
6.0	29.0	2.773	3.989	3.001	0.988	99999.000	2.257	1.178	35.0	
6.0	30.0	2.774	3.993	3.006	0.988	99999.000	2.259	1.178	35.0	
6.0	31.0	2.786	4.058	3.071	0.988	99999.000	2.283	1.178	35.0	
6.0	32.0	2.811	4.199	3.211	0.988	99999.000	2.335	1.178	35.0	
6.0	33.0	2.793	4.097	3.110	0.988	99999.000	2.297	1.178	35.0	
6.0	34.0	2.763	3.934	2.946	0.988	99999.000	2.236	1.178	35.0	
6.0	35.0	2.750	3.861	2.874	0.988	99999.000	2.209	1.178	35.0	
6.0	36.0	2.720	3.691	2.704	0.988	99999.000	2.142	1.178	35.0	
6.0	37.0	2.728	3.738	2.750	0.988	99999.000	2.161	1.178	35.0	
6.0	38.0	2.660	3.361	2.374	0.988	99999.000	2.007	1.178	35.0	
6.0	39.0	2.671	3.424	2.436	0.988	99999.000	2.034	1.178	35.0	
6.0	40.0	2.654	3.329	2.341	0.988	99999.000	1.993	1.178	35.0	
6.0	41.0	2.620	3.137	2.150	0.988	99999.000	1.910	1.178	35.0	
6.0	42.0	2.599	3.025	2.037	0.988	99999.000	1.860	1.178	35.0	
6.0	43.0	2.564	2.832	1.844	0.988	99999.000	1.769	1.178	35.0	
6.0	44.0	2.581	2.922	1.934	0.988	99999.000	1.812	1.178	35.0	
6.0	45.0	2.548	2.740	1.752	0.988	99999.000	1.725	1.178	35.0	
6.0	46.0	2.543	2.713	1.725	0.988	99999.000	1.711	1.178	35.0	
6.0	47.0	2.524	2.609	1.622	0.988	99999.000	1.659	1.178	35.0	
6.0	48.0	2.499	2.471	1.483	0.988	99999.000	1.587	1.178	35.0	
6.0	49.0	2.471	2.317	1.329	0.988	99999.000	1.502	1.178	35.0	
6.0	50.0	2.446	2.176	1.189	0.988	99999.000	1.420	1.178	35.0	
6.0	51.0	2.448	2.188	1.201	0.988	99999.000	1.428	1.178	35.0	
6.0	52.0	2.433	2.105	1.117	0.988	99999.000	1.377	1.178	35.0	
