x/D	y [mm]	pdin [V]	pdin_nc [Pa]	pdin_c [Pa]	offset_inicio [Pa]	offset_fim [Pa]	V_c [m/s]	rho_kg/m^3	vrot_hz	
6.0	0.0	2.254	1.112	0.125	0.988	99999.000	0.460	1.178	35.0	
6.0	1.0	2.297	1.353	0.365	0.988	99999.000	0.787	1.178	35.0	
6.0	2.0	2.318	1.467	0.480	0.988	99999.000	0.902	1.178	35.0	
6.0	3.0	2.342	1.601	0.613	0.988	99999.000	1.020	1.178	35.0	
6.0	4.0	2.346	1.624	0.637	0.988	99999.000	1.040	1.178	35.0	
6.0	5.0	2.338	1.581	0.593	0.988	99999.000	1.004	1.178	35.0	
6.0	6.0	2.365	1.727	0.740	0.988	99999.000	1.120	1.178	35.0	
6.0	7.0	2.372	1.767	0.780	0.988	99999.000	1.150	1.178	35.0	
6.0	8.0	2.392	1.875	0.888	0.988	99999.000	1.228	1.178	35.0	
6.0	9.0	2.408	1.969	0.981	0.988	99999.000	1.290	1.178	35.0	
6.0	10.0	2.422	2.043	1.056	0.988	99999.000	1.339	1.178	35.0	
6.0	11.0	2.429	2.081	1.093	0.988	99999.000	1.362	1.178	35.0	
6.0	12.0	2.444	2.168	1.180	0.988	99999.000	1.415	1.178	35.0	
6.0	13.0	2.457	2.240	1.253	0.988	99999.000	1.458	1.178	35.0	
6.0	14.0	2.469	2.305	1.317	0.988	99999.000	1.495	1.178	35.0	
6.0	15.0	2.467	2.295	1.308	0.988	99999.000	1.490	1.178	35.0	
6.0	16.0	2.506	2.507	1.520	0.988	99999.000	1.606	1.178	35.0	
6.0	17.0	2.535	2.670	1.682	0.988	99999.000	1.690	1.178	35.0	
6.0	18.0	2.545	2.727	1.740	0.988	99999.000	1.718	1.178	35.0	
6.0	19.0	2.559	2.801	1.813	0.988	99999.000	1.754	1.178	35.0	
6.0	20.0	2.599	3.025	2.037	0.988	99999.000	1.860	1.178	35.0	
6.0	21.0	2.641	3.257	2.270	0.988	99999.000	1.963	1.178	35.0	
6.0	22.0	2.660	3.361	2.374	0.988	99999.000	2.007	1.178	35.0	
6.0	23.0	2.697	3.567	2.579	0.988	99999.000	2.092	1.178	35.0	
6.0	24.0	2.704	3.603	2.615	0.988	99999.000	2.107	1.178	35.0	
6.0	25.0	2.740	3.806	2.818	0.988	99999.000	2.187	1.178	35.0	
6.0	26.0	2.739	3.797	2.810	0.988	99999.000	2.184	1.178	35.0	
6.0	27.0	2.760	3.912	2.925	0.988	99999.000	2.228	1.178	35.0	
6.0	28.0	2.778	4.016	3.028	0.988	99999.000	2.267	1.178	35.0	
6.0	29.0	2.779	4.020	3.033	0.988	99999.000	2.269	1.178	35.0	
6.0	30.0	2.800	4.136	3.149	0.988	99999.000	2.312	1.178	35.0	
6.0	31.0	2.775	3.999	3.011	0.988	99999.000	2.261	1.178	35.0	
6.0	32.0	2.787	4.065	3.077	0.988	99999.000	2.285	1.178	35.0	
6.0	33.0	2.779	4.018	3.031	0.988	99999.000	2.268	1.178	35.0	
6.0	34.0	2.756	3.893	2.905	0.988	99999.000	2.221	1.178	35.0	
6.0	35.0	2.741	3.811	2.824	0.988	99999.000	2.189	1.178	35.0	
6.0	36.0	2.714	3.660	2.672	0.988	99999.000	2.130	1.178	35.0	
6.0	37.0	2.715	3.668	2.680	0.988	99999.000	2.133	1.178	35.0	
6.0	38.0	2.687	3.510	2.522	0.988	99999.000	2.069	1.178	35.0	
6.0	39.0	2.676	3.448	2.460	0.988	99999.000	2.044	1.178	35.0	
6.0	40.0	2.639	3.244	2.257	0.988	99999.000	1.957	1.178	35.0	
6.0	41.0	2.626	3.174	2.186	0.988	99999.000	1.926	1.178	35.0	
6.0	42.0	2.610	3.086	2.099	0.988	99999.000	1.887	1.178	35.0	
6.0	43.0	2.605	3.058	2.071	0.988	99999.000	1.875	1.178	35.0	
6.0	44.0	2.563	2.826	1.838	0.988	99999.000	1.766	1.178	35.0	
6.0	45.0	2.535	2.670	1.682	0.988	99999.000	1.690	1.178	35.0	
6.0	46.0	2.515	2.558	1.571	0.988	99999.000	1.633	1.178	35.0	
6.0	47.0	2.522	2.597	1.610	0.988	99999.000	1.653	1.178	35.0	
6.0	48.0	2.483	2.380	1.392	0.988	99999.000	1.537	1.178	35.0	
6.0	49.0	2.489	2.412	1.425	0.988	99999.000	1.555	1.178	35.0	
6.0	50.0	2.450	2.200	1.212	0.988	99999.000	1.435	1.178	35.0	
6.0	51.0	2.450	2.198	1.210	0.988	99999.000	1.433	1.178	35.0	
6.0	52.0	2.430	2.089	1.101	0.988	99999.000	1.367	1.178	35.0	
